T1	VARIABLE 8 19	symbol sets
T2	CONDITION 20 67	can assign different meaning to the same symbol
T3	VARIABLE 69 83	an application
T4	CONDITION 84 128	does not mix symbol sets on the same display
T5	KEY_C 0 7	Because
T6	STATEMENT 8 67	symbol sets can assign different meaning to the same symbol
T7	CAUSE 0 67	Because symbol sets can assign different meaning to the same symbol
T8	STATEMENT 69 128	an application does not mix symbol sets on the same display
T9	CAUSE_EFFECT_RELATION 0 128	Because symbol sets can assign different meaning to the same symbol, an application does not mix symbol sets on the same display
T10	ROOT_SENTENCE 0 129	Because symbol sets can assign different meaning to the same symbol, an application does not mix symbol sets on the same display.
T11	VARIABLE 139 154	these languages
T16	VARIABLE 289 309	their character sets
T17	CONDITION 310 341	can be encoded in a single-byte
T18	STATEMENT 289 341	their character sets can be encoded in a single-byte
T20	KEY_C 131 138	Because
T22	CAUSE_EFFECT_RELATION 131 341	Because these languages contain fewer than 200 basic characters (i.e., the 26 letters in the alphabet, with upper case, lower case, and accented variations), their character sets can be encoded in a single-byte
T23	ROOT_SENTENCE 131 342	Because these languages contain fewer than 200 basic characters (i.e., the 26 letters in the alphabet, with upper case, lower case, and accented variations), their character sets can be encoded in a single-byte.
T24	VARIABLE 1969 1988	both of these areas
T25	CONDITION 1989 2014	are highly mission unique
T37	VARIABLE 1643 1659	their complexity
T38	KEY_C 1632 1642	Because of
T39	CAUSE 1632 1659	Because of their complexity
T40	VARIABLE 1661 1671	ideographs
T41	CONDITION 1672 1725	require more space to display the strokes within them
T42	STATEMENT 1661 1725	ideographs require more space to display the strokes within them
T43	CAUSE_EFFECT_RELATION 1632 1725	Because of their complexity, ideographs require more space to display the strokes within them
T44	ROOT_SENTENCE 1632 1726	Because of their complexity, ideographs require more space to display the strokes within them.
T45	KEY_C 1961 1968	Because
T46	CAUSE 1961 2014	Because both of these areas are highly mission unique
T47	STATEMENT 1969 2014	both of these areas are highly mission unique
T48	VARIABLE 352 379	the direction of text entry
T49	CONDITION 380 421	may change from one character to the next
T50	STATEMENT 352 421	the direction of text entry may change from one character to the next
T51	KEY_C 344 351	Because
T52	CAUSE 344 421	Because the direction of text entry may change from one character to the next
T53	VARIABLE 423 459	appropriate text handling procedures
T54	CONDITION 460 499	must be available in both right-to-left
T55	STATEMENT 423 522	appropriate text handling procedures must be available in both right-to-left and left-to-right text
T56	CONDITION 504 522	left-to-right text
T57	AND 460 522	must be available in both right-to-left and left-to-right text
T58	CAUSE_EFFECT_RELATION 344 522	Because the direction of text entry may change from one character to the next, appropriate text handling procedures must be available in both right-to-left and left-to-right text
T59	ROOT_SENTENCE 344 523	Because the direction of text entry may change from one character to the next, appropriate text handling procedures must be available in both right-to-left and left-to-right text.
T60	VARIABLE 533 542	languages
T61	CONDITION 543 598	differ in their structural rules for character handling
T62	STATEMENT 533 598	languages differ in their structural rules for character handling
T63	KEY_C 525 532	Because
T64	CAUSE 525 598	Because languages differ in their structural rules for character handling
T66	CONDITION 652 672	may be inappropriate
T65	VARIABLE 600 616	assumptions made
T67	VARIABLE 622 651	processing a US character set
T68	KEY_C 617 621	when
T69	CAUSE 617 651	when processing a US character set
T70	CONDITION 676 686	inaccurate
T72	VARIABLE 692 738	applied to a language with extended characters
T73	KEY_C 687 691	when
T74	CAUSE 687 738	when applied to a language with extended characters
T71	CAUSE_EFFECT_RELATION 600 672	assumptions made when processing a US character set may be inappropriate
T75	CAUSE_EFFECT_RELATION 676 738	inaccurate when applied to a language with extended characters
T76	OR 600 738	assumptions made when processing a US character set may be inappropriate or inaccurate when applied to a language with extended characters
