T1	VARIABLE 0 4	This
T2	CONDITION 5 92	can be performed by sensitive measurement of current through a sample of the dielectric
T3	KEY_C 94 98	when
T4	VARIABLE 99 116	a fixed potential
T5	CONDITION 117 130	of up to 500V
T6	CONDITION 131 141	is applied
T7	STATEMENT 99 130	a fixed potential of up to 500V
T8	AND 99 141	a fixed potential of up to 500V is applied
T9	CAUSE 94 141	when a fixed potential of up to 500V is applied
T10	STATEMENT 0 92	This can be performed by sensitive measurement of current through a sample of the dielectric
T11	CAUSE_EFFECT_RELATION 0 141	This can be performed by sensitive measurement of current through a sample of the dielectric, when a fixed potential of up to 500V is applied
T12	ROOT_SENTENCE 0 142	This can be performed by sensitive measurement of current through a sample of the dielectric, when a fixed potential of up to 500V is applied.
T35	KEY_C 1604 1608	When
T36	VARIABLE 1609 1617	software
T37	CONDITION 1618 1630	secures data
T38	VARIABLE 1632 1634	it
T39	CONDITION 1635 1687	takes steps to ensure the data is correct in storage
T40	STATEMENT 1632 1687	it takes steps to ensure the data is correct in storage
T41	STATEMENT 1609 1630	software secures data
T42	CAUSE 1604 1630	When software secures data
T43	CAUSE_EFFECT_RELATION 1604 1687	When software secures data, it takes steps to ensure the data is correct in storage
T44	ROOT_SENTENCE 1604 1688	When software secures data, it takes steps to ensure the data is correct in storage.
T50	VARIABLE 1962 1973	The Gateway
T51	CONDITION 1974 2021	shall provide a minimum of 32kW for Gateway use
T52	KEY_C 2022 2026	when
T53	VARIABLE 2027 2030	SEP
T54	CONDITION 2031 2042	is inactive
T55	STATEMENT 2027 2042	SEP is inactive
T56	CAUSE 2022 2042	when SEP is inactive
T57	STATEMENT 1962 2021	The Gateway shall provide a minimum of 32kW for Gateway use
T58	CAUSE_EFFECT_RELATION 1962 2042	The Gateway shall provide a minimum of 32kW for Gateway use when SEP is inactive
T59	ROOT_SENTENCE 1962 2043	The Gateway shall provide a minimum of 32kW for Gateway use when SEP is inactive.
T60	KEY_C 2045 2049	When
T61	VARIABLE 2050 2057	the SEP
T62	CONDITION 2058 2069	is inactive
T63	KEY_C 2070 2075	there
T64	VARIABLE 2076 2123	will be a minimum of 32kW available to transfer
T65	EFFECT 2070 2123	there will be a minimum of 32kW available to transfer
T66	STATEMENT 2050 2069	the SEP is inactive
T67	CAUSE 2045 2069	When the SEP is inactive
T68	CAUSE_EFFECT_RELATION 2045 2123	When the SEP is inactive there will be a minimum of 32kW available to transfer
T69	ROOT_SENTENCE 2045 2124	When the SEP is inactive there will be a minimum of 32kW available to transfer.
T70	VARIABLE 2126 2137	The Gateway
T71	CONDITION 2138 2184	shall provide a minimum of 24kW for system use
T72	KEY_C 2185 2189	when
T73	VARIABLE 2190 2193	SEP
T74	CONDITION 2194 2203	is active
T75	STATEMENT 2190 2203	SEP is active
T76	CAUSE 2185 2203	when SEP is active
T77	STATEMENT 2126 2184	The Gateway shall provide a minimum of 24kW for system use
T78	CAUSE_EFFECT_RELATION 2126 2203	The Gateway shall provide a minimum of 24kW for system use when SEP is active
T79	ROOT_SENTENCE 2126 2204	The Gateway shall provide a minimum of 24kW for system use when SEP is active.
T80	VARIABLE 2206 2217	The Gateway
T81	CONDITION 2218 2246	shall provide fire detection
T82	CONDITION 2248 2259	suppression
T83	CONDITION 2261 2270	isolation
T84	CONDITION 2276 2313	recovery for any internal fire events
T85	AND 2261 2313	isolation, and recovery for any internal fire events
T86	AND 2248 2313	suppression, isolation, and recovery for any internal fire events
T87	AND 2218 2313	shall provide fire detection, suppression, isolation, and recovery for any internal fire events
T88	STATEMENT 2206 2313	The Gateway shall provide fire detection, suppression, isolation, and recovery for any internal fire events
T89	KEY_C 2314 2318	when
T90	VARIABLE 2319 2328	there are
T91	CONDITION 2329 2358	potential flammable materials
T92	CONDITION 2362 2386	ignition sources present
T93	CONDITION 2391 2417	credible oxygen enrichment
T94	OR 2329 2386	potential flammable materials or ignition sources present
T95	OR 2329 2417	potential flammable materials or ignition sources present, or credible oxygen enrichment
T96	STATEMENT 2319 2417	there are potential flammable materials or ignition sources present, or credible oxygen enrichment
T97	CAUSE 2314 2417	when there are potential flammable materials or ignition sources present, or credible oxygen enrichment
T98	CAUSE_EFFECT_RELATION 2206 2417	The Gateway shall provide fire detection, suppression, isolation, and recovery for any internal fire events when there are potential flammable materials or ignition sources present, or credible oxygen enrichment
T99	ROOT_SENTENCE 2206 2418	The Gateway shall provide fire detection, suppression, isolation, and recovery for any internal fire events when there are potential flammable materials or ignition sources present, or credible oxygen enrichment.
T100	NONE_CAUSAL 2420 2429	Rationale
T101	KEY_C 2431 2435	When
T102	VARIABLE 2436 2442	crewed
T103	VARIABLE 2444 2455	the Gateway
T104	CONDITION 2456 2540	will be nominally maintained at pressures near to Earth sea level 101 kPa (14.7 psi)
T105	STATEMENT 2444 2540	the Gateway will be nominally maintained at pressures near to Earth sea level 101 kPa (14.7 psi)
T106	CAUSE 2431 2442	When crewed
T107	CAUSE_EFFECT_RELATION 2431 2540	When crewed, the Gateway will be nominally maintained at pressures near to Earth sea level 101 kPa (14.7 psi)
