T1	VARIABLE 35 47	extra audits
T2	CONDITION 48 66	shall be performed
T3	KEY_C 67 71	when
T4	VARIABLE 72 101	necessary to overcome failure
T5	VARIABLE 103 126	consistent poor quality
T6	VARIABLE 131 145	other problems
T7	OR 72 126	necessary to overcome failure, consistent poor quality
T8	OR 72 145	necessary to overcome failure, consistent poor quality, or other problems
T9	CAUSE 67 145	when necessary to overcome failure, consistent poor quality, or other problems
T10	STATEMENT 35 66	extra audits shall be performed
T11	VARIABLE 15 33	the planned audits
T12	NONE_CAUSAL 0 33	In addition to the planned audits
T13	KEY_NC 0 14	In addition to
T14	CAUSE_EFFECT_RELATION 35 145	extra audits shall be performed when necessary to overcome failure, consistent poor quality, or other problems
T15	ROOT_SENTENCE 0 146	In addition to the planned audits, extra audits shall be performed when necessary to overcome failure, consistent poor quality, or other problems.
T16	VARIABLE 148 154	Stamps
T17	CONDITION 155 192	shall be applied directly to articles
T18	CONDITION 197 206	materials
T19	AND 155 206	shall be applied directly to articles and materials
T20	STATEMENT 148 206	Stamps shall be applied directly to articles and materials
T21	KEY_C 208 212	when
T22	VARIABLE 213 222	requested
T23	CONDITION 223 246	by engineering drawings
T24	CONDITION 251 265	specifications
T25	CONDITION 271 291	associated documents
T26	CONDITION 293 300	records
T27	CONDITION 302 308	labels
T28	AND 293 308	records, labels
T29	AND 271 308	associated documents, records, labels
T30	AND 251 308	specifications, and associated documents, records, labels
T31	AND 223 308	by engineering drawings and specifications, and associated documents, records, labels
T32	STATEMENT 213 308	requested by engineering drawings and specifications, and associated documents, records, labels
T33	CAUSE 208 308	when requested by engineering drawings and specifications, and associated documents, records, labels
T34	CAUSE_EFFECT_RELATION 148 308	Stamps shall be applied directly to articles and materials, when requested by engineering drawings and specifications, and associated documents, records, labels
T35	ROOT_SENTENCE 148 309	Stamps shall be applied directly to articles and materials, when requested by engineering drawings and specifications, and associated documents, records, labels.
T36	VARIABLE 311 330	This identification
T37	CONDITION 331 338	applies
T38	KEY_C 339 343	when
T39	VARIABLE 344 353	the items
T40	CONDITION 362 405	required to be individually distinguishable
