T6	VARIABLE 364 378	Terminal posts
T7	CONDITION 379 396	shall be replaced
T8	KEY_C 397 401	when
T9	VARIABLE 402 406	they
T10	CONDITION 407 426	have become damaged
T11	STATEMENT 402 426	they have become damaged
T12	CAUSE 397 426	when they have become damaged
T13	STATEMENT 364 396	Terminal posts shall be replaced
T14	CAUSE_EFFECT_RELATION 364 426	Terminal posts shall be replaced when they have become damaged
T15	ROOT_SENTENCE 364 427	Terminal posts shall be replaced when they have become damaged.
T16	KEY_C 15267 15270	Due
T17	VARIABLE 15271 15295	to explosive environment
T18	CAUSE 15267 15295	Due to explosive environment
T19	VARIABLE 15297 15307	groundings
T20	CONDITION 15308 15324	shall be ensured
T21	STATEMENT 15297 15324	groundings shall be ensured
T22	CAUSE_EFFECT_RELATION 15267 15324	Due to explosive environment, groundings shall be ensured
T23	ROOT_SENTENCE 15267 15325	Due to explosive environment, groundings shall be ensured.
T24	KEY_C 15399 15402	Due
T25	VARIABLE 15403 15422	to the action of S1
T26	CAUSE 15399 15422	Due to the action of S1
T27	VARIABLE 15424 15436	each encoder
T28	CONDITION 15437 15463	accepts k of these symbols
T29	CONDITION 15465 15524	each symbol spaced I symbols apart (in the original stream)
T30	AND 15437 15524	accepts k of these symbols, each symbol spaced I symbols apart (in the original stream)
T31	STATEMENT 15424 15524	each encoder accepts k of these symbols, each symbol spaced I symbols apart (in the original stream)
T32	CAUSE_EFFECT_RELATION 15399 15524	Due to the action of S1, each encoder accepts k of these symbols, each symbol spaced I symbols apart (in the original stream)
T33	ROOT_SENTENCE 15399 15525	Due to the action of S1, each encoder accepts k of these symbols, each symbol spaced I symbols apart (in the original stream).
T34	KEY_C 15527 15530	Due
T35	VARIABLE 15531 15560	to the nature of their design
T36	VARIABLE 15562 15569	springs
T37	CONDITION 15577 15648	meet the factors of safety specified for other engineering applications
T38	CONDITION 15653 15760	should be designed in accordance with the Handbook of Spring Design from the Spring Manufacturers Institute
T41	NEGATION 15570 15648	do not meet the factors of safety specified for other engineering applications
T42	AND 15570 15760	do not meet the factors of safety specified for other engineering applications and should be designed in accordance with the Handbook of Spring Design from the Spring Manufacturers Institute
T43	STATEMENT 15562 15760	springs do not meet the factors of safety specified for other engineering applications and should be designed in accordance with the Handbook of Spring Design from the Spring Manufacturers Institute
T44	CAUSE 15527 15560	Due to the nature of their design
T45	CAUSE_EFFECT_RELATION 15527 15760	Due to the nature of their design, springs do not meet the factors of safety specified for other engineering applications and should be designed in accordance with the Handbook of Spring Design from the Spring Manufacturers Institute
T46	ROOT_SENTENCE 15527 15761	Due to the nature of their design, springs do not meet the factors of safety specified for other engineering applications and should be designed in accordance with the Handbook of Spring Design from the Spring Manufacturers Institute.
T47	KEY_C 15163 15169	due to
T48	VARIABLE 15170 15194	abnormal applied voltage
T49	VARIABLE 15198 15264	internal conditions in conformance with ECSS‐E‐ST‐20, clause 5.8.1
T50	OR 15170 15264	abnormal applied voltage or internal conditions in conformance with ECSS‐E‐ST‐20, clause 5.8.1
T51	CAUSE 15163 15264	due to abnormal applied voltage or internal conditions in conformance with ECSS‐E‐ST‐20, clause 5.8.1
T52	VARIABLE 15071 15109	Mechanisms containing electrical parts
T53	VARIABLE 15114 15123	circuitry
T54	AND 15071 15123	Mechanisms containing electrical parts and circuitry
T55	CONDITION 15124 15162	shall be protected against overcurrent
T56	STATEMENT 15071 15162	Mechanisms containing electrical parts and circuitry shall be protected against overcurrent
T57	CAUSE_EFFECT_RELATION 15071 15264	Mechanisms containing electrical parts and circuitry shall be protected against overcurrent due to abnormal applied voltage or internal conditions in conformance with ECSS‐E‐ST‐20, clause 5.8.1
T58	ROOT_SENTENCE 15071 15265	Mechanisms containing electrical parts and circuitry shall be protected against overcurrent due to abnormal applied voltage or internal conditions in conformance with ECSS‐E‐ST‐20, clause 5.8.1.
T59	KEY_C 15045 15051	due to
T60	VARIABLE 15052 15068	acoustic sources
T61	CAUSE 15045 15068	due to acoustic sources
T62	VARIABLE 14958 14975	Acoustic analysis
T63	CONDITION 14976 15044	shall be used to calculate the characteristics of the pressure field
T64	STATEMENT 14958 15044	Acoustic analysis shall be used to calculate the characteristics of the pressure field
T65	CAUSE_EFFECT_RELATION 14958 15068	Acoustic analysis shall be used to calculate the characteristics of the pressure field due to acoustic sources
T66	ROOT_SENTENCE 14958 15069	Acoustic analysis shall be used to calculate the characteristics of the pressure field due to acoustic sources.
T71	VARIABLE 14465 14475	Provisions
T72	CONDITION 14476 14533	shall be made to include the effects of residual stresses
T73	KEY_C 14534 14540	due to
T74	VARIABLE 14541 14581	the manufacturing process (e.g. welding)
T75	CAUSE 14534 14581	due to the manufacturing process (e.g. welding)
T76	STATEMENT 14465 14533	Provisions shall be made to include the effects of residual stresses
T77	CAUSE_EFFECT_RELATION 14465 14581	Provisions shall be made to include the effects of residual stresses due to the manufacturing process (e.g. welding)
T78	ROOT_SENTENCE 14465 14582	Provisions shall be made to include the effects of residual stresses due to the manufacturing process (e.g. welding).
T79	VARIABLE 14386 14404	Impact of material
T80	CONDITION 14405 14412	changes
T81	KEY_C 14413 14419	due to
T82	VARIABLE 14420 14428	ablation
T83	STATEMENT 14386 14412	Impact of material changes
T84	CAUSE 14413 14428	due to ablation
T85	VARIABLE 14433 14442	pyrolysis
T86	CONDITION 14443 14462	shall be identified
T87	STATEMENT 14433 14462	pyrolysis shall be identified
T88	CAUSE_EFFECT_RELATION 14386 14428	Impact of material changes due to ablation
T89	CAUSE_EFFECT_RELATION 14386 14462	Impact of material changes due to ablation and pyrolysis shall be identified
T90	ROOT_SENTENCE 14386 14463	Impact of material changes due to ablation and pyrolysis shall be identified.
T91	VARIABLE 14217 14238	Structural assemblies
T92	VARIABLE 14243 14253	components
T93	CONDITION 14254 14298	shall be designed to withstand applied loads
T94	AND 14217 14253	Structural assemblies and components
T95	STATEMENT 14217 14298	Structural assemblies and components shall be designed to withstand applied loads
T96	KEY_C 14299 14305	due to
T97	VARIABLE 14306 14333	the mechanical environments
T98	CONDITION 14334 14383	to which they are exposed during the service‐life
T99	STATEMENT 14306 14383	the mechanical environments to which they are exposed during the service‐life
T100	CAUSE 14299 14383	due to the mechanical environments to which they are exposed during the service‐life
T101	CAUSE_EFFECT_RELATION 14217 14383	Structural assemblies and components shall be designed to withstand applied loads due to the mechanical environments to which they are exposed during the service‐life
T102	ROOT_SENTENCE 14217 14384	Structural assemblies and components shall be designed to withstand applied loads due to the mechanical environments to which they are exposed during the service‐life.
T103	VARIABLE 14152 14185	Reduction of transport capability
T104	KEY_C 14186 14192	due to
T105	VARIABLE 14193 14214	tilt (see Figure 3-1)
T106	CAUSE 14186 14214	due to tilt (see Figure 3-1)
T107	CAUSE_EFFECT_RELATION 14152 14214	Reduction of transport capability due to tilt (see Figure 3-1)
T108	ROOT_SENTENCE 14152 14215	Reduction of transport capability due to tilt (see Figure 3-1).
T109	VARIABLE 14059 14092	Reduction of transport capability
T110	KEY_C 14093 14099	due to
T111	VARIABLE 14100 14117	heat pipe bending
T112	CONDITION 14118 14149	at the minimum specified radius
T113	STATEMENT 14100 14149	heat pipe bending at the minimum specified radius
T114	CAUSE 14093 14149	due to heat pipe bending at the minimum specified radius
T115	CAUSE_EFFECT_RELATION 14059 14149	Reduction of transport capability due to heat pipe bending at the minimum specified radius
T116	ROOT_SENTENCE 14059 14150	Reduction of transport capability due to heat pipe bending at the minimum specified radius.
T117	VARIABLE 13942 13956	The TCS design
T118	CONDITION 13957 14006	shall fulfil requirements considering heat fluxes
T119	KEY_C 14007 14013	due to
T120	VARIABLE 14014 14024	components
T121	CONDITION 14025 14056	during operation of a thrusters
T122	STATEMENT 14014 14056	components during operation of a thrusters
T123	CAUSE 14007 14056	due to components during operation of a thrusters
T124	STATEMENT 13942 14006	The TCS design shall fulfil requirements considering heat fluxes
T125	CAUSE_EFFECT_RELATION 13942 14056	The TCS design shall fulfil requirements considering heat fluxes due to components during operation of a thrusters
T126	ROOT_SENTENCE 13942 14057	The TCS design shall fulfil requirements considering heat fluxes due to components during operation of a thrusters.
T127	VARIABLE 13789 13814	Low susceptible equipment
T128	CONDITION 13815 13885	is for telecommunication spacecraft flying in a severe EMI environment
T129	KEY_C 13886 13892	due to
T130	VARIABLE 13893 13913	on board large power
T131	VARIABLE 13918 13939	possible residual ESD
T132	AND 13893 13939	on board large power and possible residual ESD
T133	CAUSE 13886 13939	due to on board large power and possible residual ESD
T134	STATEMENT 13789 13885	Low susceptible equipment is for telecommunication spacecraft flying in a severe EMI environment
T135	CAUSE_EFFECT_RELATION 13789 13939	Low susceptible equipment is for telecommunication spacecraft flying in a severe EMI environment due to on board large power and possible residual ESD
T136	ROOT_SENTENCE 13789 13940	Low susceptible equipment is for telecommunication spacecraft flying in a severe EMI environment due to on board large power and possible residual ESD.
T137	KEY_C 1262 1266	When
T138	VARIABLE 1267 1275	capacity
T139	CONDITION 1276 1283	is high
T140	VARIABLE 1288 1292	need
T141	CONDITION 1293 1299	is low
T142	STATEMENT 1288 1299	need is low
T143	STATEMENT 1267 1283	capacity is high
T144	AND 1267 1299	capacity is high and need is low
T145	CAUSE 1262 1299	When capacity is high and need is low
T146	VARIABLE 1301 1322	the price for sharing
T147	CONDITION 1323 1338	is normally low
T148	STATEMENT 1301 1338	the price for sharing is normally low
T149	CAUSE_EFFECT_RELATION 1262 1338	When capacity is high and need is low, the price for sharing is normally low
T150	ROOT_SENTENCE 1262 1339	When capacity is high and need is low, the price for sharing is normally low.
T151	KEY_C 1341 1345	When
T152	VARIABLE 1346 1354	capacity
T153	CONDITION 1355 1361	is low
T154	VARIABLE 1366 1370	need
T155	CONDITION 1371 1378	is high
T156	AND 1346 1378	capacity is low and need is high
T157	STATEMENT 1346 1361	capacity is low
T158	STATEMENT 1366 1378	need is high
T159	CAUSE 1341 1378	When capacity is low and need is high
T160	VARIABLE 1380 1402	the prices for sharing
T161	CONDITION 1403 1415	will be high
T162	STATEMENT 1380 1415	the prices for sharing will be high
T163	CAUSE_EFFECT_RELATION 1341 1415	When capacity is low and need is high, the prices for sharing will be high
T164	ROOT_SENTENCE 1341 1416	When capacity is low and need is high, the prices for sharing will be high.
T165	KEY_C 2488 2493	since
T166	VARIABLE 2494 2529	the spectral signature at the coast
T167	CONDITION 2537 2546	invariant
T168	NEGATION 2530 2546	is not invariant
T169	STATEMENT 2494 2546	the spectral signature at the coast is not invariant
T170	CAUSE 2488 2546	since the spectral signature at the coast is not invariant
T171	VARIABLE 2445 2449	This
T172	CONDITION 2450 2487	may result in significant uncertainty
T173	STATEMENT 2445 2487	This may result in significant uncertainty
T174	CAUSE_EFFECT_RELATION 2445 2546	This may result in significant uncertainty since the spectral signature at the coast is not invariant
T175	ROOT_SENTENCE 2445 2547	This may result in significant uncertainty since the spectral signature at the coast is not invariant.
T176	KEY_C 2549 2554	Since
T177	VARIABLE 2555 2575	global/static object
T178	CONDITION 2576 2626	are instantiated before the main event loop enters
T179	VARIABLE 2628 2649	the Logging framework
T180	CONDITION 2650 2707	must support calls to all its interfaces without crashing
T181	STATEMENT 2628 2707	the Logging framework must support calls to all its interfaces without crashing
T182	STATEMENT 2555 2626	global/static object are instantiated before the main event loop enters
T183	CAUSE 2549 2626	Since global/static object are instantiated before the main event loop enters
T184	CAUSE_EFFECT_RELATION 2549 2707	Since global/static object are instantiated before the main event loop enters, the Logging framework must support calls to all its interfaces without crashing
T185	ROOT_SENTENCE 2549 2708	Since global/static object are instantiated before the main event loop enters, the Logging framework must support calls to all its interfaces without crashing.
T186	KEY_C 2710 2715	Since
T187	VARIABLE 2716 2723	logging
T188	VARIABLE 2728 2735	tracing
T189	AND 2716 2735	logging and tracing
T190	CONDITION 2736 2777	is an important mechanism for testability
T191	CONDITION 2782 2806	proofing product quality
T192	AND 2736 2806	is an important mechanism for testability and proofing product quality
