T1	VARIABLE 3 12	the check
T3	CONDITION 13 26	is successful
T4	KEY_C 0 2	If
T5	CAUSE 0 26	If the check is successful
T2	STATEMENT 3 26	the check is successful
T6	VARIABLE 27 154	the applicable Netted area AC Position for each of the control areas subject to cross-load-frequency-control-area redispatching
T7	CONDITION 155 204	shall be the Netted area AC position from the IGM
T8	STATEMENT 27 204	the applicable Netted area AC Position for each of the control areas subject to cross-load-frequency-control-area redispatching shall be the Netted area AC position from the IGM
T9	ROOT_SENTENCE 0 205	If the check is successful the applicable Netted area AC Position for each of the control areas subject to cross-load-frequency-control-area redispatching shall be the Netted area AC position from the IGM.
T10	CAUSE_EFFECT_RELATION 0 204	If the check is successful the applicable Netted area AC Position for each of the control areas subject to cross-load-frequency-control-area redispatching shall be the Netted area AC position from the IGM
T11	VARIABLE 210 221	discrepancy
T13	KEY_C 287 291	then
T14	VARIABLE 292 335	a balance adjustment by adjusting the loads
T15	CONDITION 336 350	has to be done
T16	STATEMENT 292 350	a balance adjustment by adjusting the loads has to be done
T17	EFFECT 287 350	then a balance adjustment by adjusting the loads has to be done
T12	CONDITION 222 236	exists for one
T18	KEY_C 207 209	If
T19	STATEMENT 210 285	discrepancy exists for one or more scheduling areas, between the two values
T20	CAUSE 207 285	If discrepancy exists for one or more scheduling areas, between the two values
T21	CAUSE_EFFECT_RELATION 207 350	If discrepancy exists for one or more scheduling areas, between the two values, then a balance adjustment by adjusting the loads has to be done
T22	ROOT_SENTENCE 207 351	If discrepancy exists for one or more scheduling areas, between the two values, then a balance adjustment by adjusting the loads has to be done.
T23	VARIABLE 356 406	the active power injection in the global slack bus
T24	CONDITION 407 439	exceeds a configurable threshold
T25	KEY_C 353 355	If
T26	VARIABLE 441 468	this active power injection
T27	CONDITION 469 640	shall be redistributed on all generation units in the synchronous area proportional to the reserve margin, respecting the reactive power limits of all the Generating Units
T28	VARIABLE 645 659	the power flow
T29	CONDITION 660 679	is calculated again
T30	STATEMENT 645 679	the power flow is calculated again
T31	STATEMENT 441 640	this active power injection shall be redistributed on all generation units in the synchronous area proportional to the reserve margin, respecting the reactive power limits of all the Generating Units
T32	STATEMENT 356 439	the active power injection in the global slack bus exceeds a configurable threshold
T33	CAUSE 353 439	If the active power injection in the global slack bus exceeds a configurable threshold
T34	AND 441 679	this active power injection shall be redistributed on all generation units in the synchronous area proportional to the reserve margin, respecting the reactive power limits of all the Generating Units and the power flow is calculated again
T35	CAUSE_EFFECT_RELATION 353 679	If the active power injection in the global slack bus exceeds a configurable threshold, this active power injection shall be redistributed on all generation units in the synchronous area proportional to the reserve margin, respecting the reactive power limits of all the Generating Units and the power flow is calculated again
T36	VARIABLE 685 707	the load flow solution
T38	VARIABLE 764 775	the process
T39	CONDITION 776 792	shall be aborted
T40	VARIABLE 797 809	the Operator
T41	CONDITION 810 827	shall be informed
T42	STATEMENT 797 827	the Operator shall be informed
T43	STATEMENT 764 792	the process shall be aborted
T44	AND 764 827	the process shall be aborted and the Operator shall be informed
T45	KEY_C 682 684	If
T46	CAUSE 682 762	If the load flow solution cannot be found by the means specified in VMA1 or VMA2
T47	STATEMENT 685 762	the load flow solution cannot be found by the means specified in VMA1 or VMA2
T48	CAUSE_EFFECT_RELATION 682 827	If the load flow solution cannot be found by the means specified in VMA1 or VMA2, the process shall be aborted and the Operator shall be informed
T49	ROOT_SENTENCE 682 828	If the load flow solution cannot be found by the means specified in VMA1 or VMA2, the process shall be aborted and the Operator shall be informed.
T50	VARIABLE 1302 1307	there
T51	CONDITION 1308 1342	is already a REL address for a RMP
T52	VARIABLE 1344 1349	there
T53	CONDITION 1350 1409	is no request for an address match from the Address Service
T54	STATEMENT 1344 1409	there is no request for an address match from the Address Service
T55	STATEMENT 1302 1342	there is already a REL address for a RMP
T56	KEY_C 1299 1301	If
T57	CAUSE 1299 1342	If there is already a REL address for a RMP
T58	CAUSE_EFFECT_RELATION 1299 1409	If there is already a REL address for a RMP, there is no request for an address match from the Address Service
T59	ROOT_SENTENCE 1299 1410	If there is already a REL address for a RMP, there is no request for an address match from the Address Service.
T60	VARIABLE 1415 1490	the unique GB address identifier of both RMPs related to a single comms hub
T62	KEY_C 1412 1414	If
