T1	VARIABLE 3 24	development test data
T2	CONDITION 25 67	is intended to be used to qualify hardware
T3	KEY_C 0 2	If
T4	STATEMENT 3 67	development test data is intended to be used to qualify hardware
T5	CAUSE 0 67	If development test data is intended to be used to qualify hardware
T6	VARIABLE 69 79	its intent
T7	CONDITION 80 100	shall be predeclared
T8	STATEMENT 69 100	its intent shall be predeclared
T9	CAUSE_EFFECT_RELATION 0 100	If development test data is intended to be used to qualify hardware, its intent shall be predeclared
T10	ROOT_SENTENCE 0 101	If development test data is intended to be used to qualify hardware, its intent shall be predeclared.
T11	VARIABLE 106 128	actual flight hardware
T12	CONDITION 129 162	is used for qualification testing
T13	KEY_C 103 105	If
T14	VARIABLE 164 166	it
T15	CONDITION 167 210	shall be in accordance with <TBD-L2-GW-069>
T16	STATEMENT 164 210	it shall be in accordance with <TBD-L2-GW-069>
T17	STATEMENT 106 162	actual flight hardware is used for qualification testing
T18	CAUSE 103 162	If actual flight hardware is used for qualification testing
T19	CAUSE_EFFECT_RELATION 103 210	If actual flight hardware is used for qualification testing, it shall be in accordance with <TBD-L2-GW-069>
T20	ROOT_SENTENCE 103 211	If actual flight hardware is used for qualification testing, it shall be in accordance with <TBD-L2-GW-069>.
T21	VARIABLE 216 225	the audit
T22	CONDITION 226 266	requires additional analysis to complete
T23	STATEMENT 216 266	the audit requires additional analysis to complete
T24	VARIABLE 268 270	it
T25	CONDITION 271 301	should be verified by analysis
T26	STATEMENT 268 301	it should be verified by analysis
T27	KEY_C 213 215	If
T28	CAUSE 213 266	If the audit requires additional analysis to complete
T29	CAUSE_EFFECT_RELATION 213 301	If the audit requires additional analysis to complete, it should be verified by analysis
T30	ROOT_SENTENCE 213 302	If the audit requires additional analysis to complete, it should be verified by analysis.
T31	VARIABLE 307 322	the solar array
T32	CONDITION 323 360	is rotating in the space vehicle axes
T33	KEY_C 304 306	If
T34	VARIABLE 362 381	separate evaluation
T35	CONDITION 382 419	for the main body and the solar array
T36	STATEMENT 362 419	separate evaluation for the main body and the solar array
T37	STATEMENT 307 360	the solar array is rotating in the space vehicle axes
T38	CAUSE 304 360	If the solar array is rotating in the space vehicle axes
T39	CAUSE_EFFECT_RELATION 304 419	If the solar array is rotating in the space vehicle axes, separate evaluation for the main body and the solar array
T40	ROOT_SENTENCE 304 420	If the solar array is rotating in the space vehicle axes, separate evaluation for the main body and the solar array.
T41	PUNCT 419 420	.
T42	VARIABLE 425 438	the structure
T43	CONDITION 439 473	is used as the return current path
T44	KEY_C 422 424	If
T45	VARIABLE 475 493	bonding provisions
T46	CONDITION 494 583	shall be such that DC and AC voltage drops along power paths comply with clause 4.2.10.2c
T47	STATEMENT 475 583	bonding provisions shall be such that DC and AC voltage drops along power paths comply with clause 4.2.10.2c
T48	STATEMENT 425 473	the structure is used as the return current path
T49	CAUSE 422 473	If the structure is used as the return current path
T50	CAUSE_EFFECT_RELATION 422 583	If the structure is used as the return current path, bonding provisions shall be such that DC and AC voltage drops along power paths comply with clause 4.2.10.2c
T51	ROOT_SENTENCE 422 584	If the structure is used as the return current path, bonding provisions shall be such that DC and AC voltage drops along power paths comply with clause 4.2.10.2c.
T52	PUNCT 583 584	.
T59	KEY_C 709 711	If
T60	VARIABLE 712 727	the return line
T61	CONDITION 728 806	is grounded at the power source in the actual installation (star distribution)
T62	VARIABLE 808 835	the return line of the LISN
T63	CONDITION 836 878	shall be grounded on the power source side
T64	STATEMENT 808 878	the return line of the LISN shall be grounded on the power source side
T65	KEY_C 1388 1390	If
T66	VARIABLE 1391 1406	the power leads
T67	CONDITION 1407 1445	are twisted in the actual installation
T68	STATEMENT 1391 1445	the power leads are twisted in the actual installation
T69	CAUSE 1388 1445	If the power leads are twisted in the actual installation
T70	VARIABLE 1447 1451	they
T71	CONDITION 1452 1484	shall be twisted up to the LISNs
T72	STATEMENT 1447 1484	they shall be twisted up to the LISNs
T73	CAUSE_EFFECT_RELATION 1388 1484	If the power leads are twisted in the actual installation, they shall be twisted up to the LISNs
T74	PUNCT 1484 1485	.
T75	ROOT_SENTENCE 1388 1485	If the power leads are twisted in the actual installation, they shall be twisted up to the LISNs.
T76	VARIABLE 1490 1505	EUT performance
T77	CONDITION 1506 1571	is monitored through installation of special circuitry in the EUT
T78	STATEMENT 1490 1571	EUT performance is monitored through installation of special circuitry in the EUT
T79	KEY_C 1487 1489	If
T80	CAUSE 1487 1571	If EUT performance is monitored through installation of special circuitry in the EUT
T82	CONDITION 1591 1623	shall not influence test results
T83	STATEMENT 1573 1623	the modifications shall not influence test results
T84	CAUSE_EFFECT_RELATION 1487 1623	If EUT performance is monitored through installation of special circuitry in the EUT, the modifications shall not influence test results
T85	PUNCT 1623 1624	.
T86	ROOT_SENTENCE 1487 1624	If EUT performance is monitored through installation of special circuitry in the EUT, the modifications shall not influence test results.
T87	KEY_C 2001 2003	If
T88	VARIABLE 2004 2032	a controlled video bandwidth
T89	CONDITION 2033 2073	is available on the measurement receiver
T90	STATEMENT 2004 2073	a controlled video bandwidth is available on the measurement receiver
T91	CAUSE 2001 2073	If a controlled video bandwidth is available on the measurement receiver
T92	VARIABLE 2075 2077	it
T93	CONDITION 2078 2112	shall be set to its greatest value
T94	STATEMENT 2075 2112	it shall be set to its greatest value
T95	CAUSE_EFFECT_RELATION 2001 2112	If a controlled video bandwidth is available on the measurement receiver, it shall be set to its greatest value
T96	ROOT_SENTENCE 2001 2113	If a controlled video bandwidth is available on the measurement receiver, it shall be set to its greatest value.
T97	KEY_C 2115 2117	If
T98	VARIABLE 2118 2137	receiver bandwidths
T99	CONDITION 2138 2177	larger that those in Table 5?2 are used
T100	STATEMENT 2118 2177	receiver bandwidths larger that those in Table 5?2 are used
T101	CAUSE 2115 2177	If receiver bandwidths larger that those in Table 5?2 are used
T102	VARIABLE 2182 2210	bandwidth correction factors
T103	CONDITION 2211 2276	shall be applied to test data due to the use of larger bandwidths
T104	STATEMENT 2182 2276	bandwidth correction factors shall be applied to test data due to the use of larger bandwidths
T105	NEGATION 2179 2276	no bandwidth correction factors shall be applied to test data due to the use of larger bandwidths
T106	CAUSE_EFFECT_RELATION 2115 2276	If receiver bandwidths larger that those in Table 5?2 are used, no bandwidth correction factors shall be applied to test data due to the use of larger bandwidths
T107	ROOT_SENTENCE 2115 2277	If receiver bandwidths larger that those in Table 5?2 are used, no bandwidth correction factors shall be applied to test data due to the use of larger bandwidths.
T108	KEY_C 2279 2281	If
T109	VARIABLE 2282 2296	susceptibility
T110	CONDITION 2297 2308	is observed
T111	STATEMENT 2282 2308	susceptibility is observed
T112	CAUSE 2279 2308	If susceptibility is observed
T113	VARIABLE 2310 2345	determined levels of susceptibility
T114	CAUSE 2346 2382	shall be recorded in the test report
T115	STATEMENT 2310 2382	determined levels of susceptibility shall be recorded in the test report
T116	CAUSE_EFFECT_RELATION 2279 2382	If susceptibility is observed, determined levels of susceptibility shall be recorded in the test report
T117	ROOT_SENTENCE 2279 2383	If susceptibility is observed, determined levels of susceptibility shall be recorded in the test report.
T118	VARIABLE 2388 2402	the spacecraft
T119	CONDITION 2403 2431	is not powered during launch
T120	KEY_C 2385 2387	If
T121	CONDITION 2477 2489	be performed
T122	NEGATION 2473 2489	not be performed
T123	VARIABLE 2433 2467	EMC testing with the launch system
T124	CONDITION 2468 2489	need not be performed
T125	STATEMENT 2433 2489	EMC testing with the launch system need not be performed
T126	STATEMENT 2388 2431	the spacecraft is not powered during launch
T127	CAUSE 2385 2431	If the spacecraft is not powered during launch
T128	CAUSE_EFFECT_RELATION 2385 2489	If the spacecraft is not powered during launch, EMC testing with the launch system need not be performed
T129	ROOT_SENTENCE 2385 2490	If the spacecraft is not powered during launch, EMC testing with the launch system need not be performed.
T133	KEY_C 13766 13768	If
T134	VARIABLE 13769 13781	virtual fill
T135	CONDITION 13782 13789	is used
T136	STATEMENT 13769 13789	virtual fill is used
T137	CAUSE 13766 13789	If virtual fill is used
T138	VARIABLE 13791 13830	the length of the transmitted codeblock
T139	CONDITION 13831 13875	is reduced by the length of the virtual fill
T140	STATEMENT 13791 13875	the length of the transmitted codeblock is reduced by the length of the virtual fill
T141	CAUSE_EFFECT_RELATION 13766 13875	If virtual fill is used, the length of the transmitted codeblock is reduced by the length of the virtual fill
T142	ROOT_SENTENCE 13766 13876	If virtual fill is used, the length of the transmitted codeblock is reduced by the length of the virtual fill.
T143	VARIABLE 13615 13622	a frame
T145	NEGATION 13623 13652	is not correctly synchronized
T146	STATEMENT 13615 13652	a frame is not correctly synchronized
T147	KEY_C 13612 13614	If
T148	CAUSE 13612 13652	If a frame is not correctly synchronized
T149	KEY_C 13654 13658	then
T150	VARIABLE 13659 13683	the Reed?Solomon decoder
T151	CONDITION 13684 13739	can perform a meaningless error correction of the frame
T152	CONDITION 13744 13763	deliver it as valid
T153	AND 13684 13763	can perform a meaningless error correction of the frame and deliver it as valid
T155	EFFECT 13654 13763	then the Reed?Solomon decoder can perform a meaningless error correction of the frame and deliver it as valid
T156	CAUSE_EFFECT_RELATION 13612 13763	If a frame is not correctly synchronized, then the Reed?Solomon decoder can perform a meaningless error correction of the frame and deliver it as valid
T157	ROOT_SENTENCE 13612 13764	If a frame is not correctly synchronized, then the Reed?Solomon decoder can perform a meaningless error correction of the frame and deliver it as valid.
T158	VARIABLE 13506 13539	The Reed?Solomon frame validation
T159	CONDITION 13540 13570	can only deliver a valid frame
T160	KEY_C 13571 13573	if
T161	VARIABLE 13574 13583	the frame
T162	CONDITION 13584 13609	is correctly synchronized
T163	STATEMENT 13574 13609	the frame is correctly synchronized
T164	CAUSE 13571 13609	if the frame is correctly synchronized
T165	STATEMENT 13506 13570	The Reed?Solomon frame validation can only deliver a valid frame
T166	CAUSE_EFFECT_RELATION 13506 13609	The Reed?Solomon frame validation can only deliver a valid frame if the frame is correctly synchronized
T167	ROOT_SENTENCE 13506 13610	The Reed?Solomon frame validation can only deliver a valid frame if the frame is correctly synchronized.
T168	KEY_C 13403 13405	If
T169	VARIABLE 13406 13441	the decoder?s correction capability
T170	CONDITION 13442 13453	is exceeded
T171	STATEMENT 13406 13453	the decoder?s correction capability is exceeded
T172	CAUSE 13403 13453	If the decoder?s correction capability is exceeded
T173	VARIABLE 13455 13478	undetected burst errors
T174	CONDITION 13479 13503	can appear in the output
T175	STATEMENT 13455 13503	undetected burst errors can appear in the output
T176	CAUSE_EFFECT_RELATION 13403 13503	If the decoder?s correction capability is exceeded, undetected burst errors can appear in the output
