T1	VARIABLE 3 25	accelerated life tests
T2	CONDITION 26 37	are planned
T3	KEY_C 0 2	If
T4	STATEMENT 3 37	accelerated life tests are planned
T5	CAUSE 0 37	If accelerated life tests are planned
T6	VARIABLE 39 53	the contractor
T7	CONDITION 54 77	shall identify the test
T8	CONDITION 82 98	analysis methods
T9	CONDITION 100 118	statistical models
T10	CONDITION 124 143	acceleration factor
T11	AND 100 143	statistical models, and acceleration factor
T12	AND 82 143	analysis methods, statistical models, and acceleration factor
T13	AND 54 143	shall identify the test and analysis methods, statistical models, and acceleration factor
T14	STATEMENT 39 143	the contractor shall identify the test and analysis methods, statistical models, and acceleration factor
T15	CAUSE_EFFECT_RELATION 0 143	If accelerated life tests are planned, the contractor shall identify the test and analysis methods, statistical models, and acceleration factor
T16	ROOT_SENTENCE 0 144	If accelerated life tests are planned, the contractor shall identify the test and analysis methods, statistical models, and acceleration factor.
T17	KEY_C 146 148	If
T18	VARIABLE 149 168	a delivery schedule
T19	CONDITION 176 197	specified in the CDRL
T20	NEGATION 169 197	is not specified in the CDRL
T21	STATEMENT 149 197	a delivery schedule is not specified in the CDRL
T22	CAUSE 146 197	If a delivery schedule is not specified in the CDRL
T23	VARIABLE 199 236	the Failure Analysis Reports on parts
T24	VARIABLE 240 249	materials
T25	CONDITION 250 299	shall be included with the failure closure report
T26	OR 199 249	the Failure Analysis Reports on parts or materials
T27	STATEMENT 199 299	the Failure Analysis Reports on parts or materials shall be included with the failure closure report
T28	CAUSE_EFFECT_RELATION 146 299	If a delivery schedule is not specified in the CDRL, the Failure Analysis Reports on parts or materials shall be included with the failure closure report
T29	ROOT_SENTENCE 146 300	If a delivery schedule is not specified in the CDRL, the Failure Analysis Reports on parts or materials shall be included with the failure closure report.
T30	KEY_C 302 304	If
T31	VARIABLE 305 323	a reported failure
T32	CONDITION 331 342	be verified
T33	CONDITION 346 355	validated
T34	OR 331 355	be verified or validated
T35	NEGATION 324 355	cannot be verified or validated
T36	STATEMENT 305 355	a reported failure cannot be verified or validated
T38	VARIABLE 364 381	corrective action
T39	CONDITION 382 396	is appropriate
T40	STATEMENT 364 396	corrective action is appropriate
T41	STATEMENT 361 396	no corrective action is appropriate
T42	AND 305 396	a reported failure cannot be verified or validated, and no corrective action is appropriate
T43	CAUSE 302 396	If a reported failure cannot be verified or validated, and no corrective action is appropriate
T37	VARIABLE 398 409	the failure
T44	CONDITION 410 433	shall still be reviewed
T45	CONDITION 438 458	approved for closure
T46	CONDITION 464 498	such incidents shall be classified
T47	CONDITION 503 529	tracked for trend analysis
T48	AND 464 529	such incidents shall be classified and tracked for trend analysis
T49	AND 410 458	shall still be reviewed and approved for closure
T50	AND 410 529	shall still be reviewed and approved for closure, and such incidents shall be classified and tracked for trend analysis
T51	STATEMENT 398 529	the failure shall still be reviewed and approved for closure, and such incidents shall be classified and tracked for trend analysis
T52	ROOT_SENTENCE 302 530	If a reported failure cannot be verified or validated, and no corrective action is appropriate, the failure shall still be reviewed and approved for closure, and such incidents shall be classified and tracked for trend analysis.
T53	CAUSE_EFFECT_RELATION 302 529	If a reported failure cannot be verified or validated, and no corrective action is appropriate, the failure shall still be reviewed and approved for closure, and such incidents shall be classified and tracked for trend analysis
T54	KEY_C 532 534	If
T55	VARIABLE 535 562	elevated stand temperatures
T56	CONDITION 563 594	are expected after installation
