T1	VARIABLE 0 22	Some open site testing
T2	CONDITION 23 38	may be feasible
T3	KEY_C 39 41	if
T4	VARIABLE 42 64	prior FCC coordination
T5	CONDITION 65 80	is accomplished
T6	STATEMENT 42 80	prior FCC coordination is accomplished
T7	CAUSE 39 80	if prior FCC coordination is accomplished
T8	STATEMENT 0 38	Some open site testing may be feasible
T9	CAUSE_EFFECT_RELATION 0 80	Some open site testing may be feasible if prior FCC coordination is accomplished
T10	ROOT_SENTENCE 0 81	Some open site testing may be feasible if prior FCC coordination is accomplished.
T11	KEY_C 83 85	If
T12	VARIABLE 86 118	the User Location Information IE
T13	CONDITION 119 182	is included in the PDU SESSION RESOURCE MODIFY RESPONSE message
T14	VARIABLE 184 191	the AMF
T15	CONDITION 192 251	shall handle this information as specified in TS 23.501 [9]
T16	STATEMENT 184 251	the AMF shall handle this information as specified in TS 23.501 [9]
T17	STATEMENT 86 182	the User Location Information IE is included in the PDU SESSION RESOURCE MODIFY RESPONSE message
T18	CAUSE 83 182	If the User Location Information IE is included in the PDU SESSION RESOURCE MODIFY RESPONSE message
T19	CAUSE_EFFECT_RELATION 83 251	If the User Location Information IE is included in the PDU SESSION RESOURCE MODIFY RESPONSE message, the AMF shall handle this information as specified in TS 23.501 [9]
T20	ROOT_SENTENCE 83 252	If the User Location Information IE is included in the PDU SESSION RESOURCE MODIFY RESPONSE message, the AMF shall handle this information as specified in TS 23.501 [9].
T21	KEY_C 254 256	If
T22	VARIABLE 257 289	the User Location Information IE
T23	CONDITION 290 344	is included in the PDU SESSION RESOURCE NOTIFY message
T24	VARIABLE 346 353	the AMF
T25	CONDITION 354 413	shall handle this information as specified in TS 23.501 [9]
T26	STATEMENT 346 413	the AMF shall handle this information as specified in TS 23.501 [9]
T27	STATEMENT 257 344	the User Location Information IE is included in the PDU SESSION RESOURCE NOTIFY message
T28	CAUSE 254 344	If the User Location Information IE is included in the PDU SESSION RESOURCE NOTIFY message
T29	CAUSE_EFFECT_RELATION 254 413	If the User Location Information IE is included in the PDU SESSION RESOURCE NOTIFY message, the AMF shall handle this information as specified in TS 23.501 [9]
T30	ROOT_SENTENCE 254 414	If the User Location Information IE is included in the PDU SESSION RESOURCE NOTIFY message, the AMF shall handle this information as specified in TS 23.501 [9].
T31	VARIABLE 416 423	The AMF
T32	CONDITION 424 472	may initiate the Initial Context Setup procedure
T33	KEY_C 473 475	if
T34	VARIABLE 476 514	a UE- associated logical NG-connection
T35	CONDITION 515 532	exists for the UE
T36	KEY_C 536 538	if
T37	VARIABLE 539 546	the AMF
T38	KEY_C 965 967	If
T39	VARIABLE 968 987	Simple Pairing Mode
T40	CONDITION 995 1002	enabled
T41	NEGATION 988 1002	is not enabled
T42	VARIABLE 1007 1021	authentication
T43	CONDITION 1022 1027	fails
T44	STATEMENT 1007 1027	authentication fails
T45	STATEMENT 968 1002	Simple Pairing Mode is not enabled
T46	AND 968 1027	Simple Pairing Mode is not enabled and authentication fails
T47	CAUSE 965 1027	If Simple Pairing Mode is not enabled and authentication fails
T48	VARIABLE 1029 1055	the PIN Code Request event
T49	CONDITION 1056 1072	may be generated
T50	STATEMENT 1029 1072	the PIN Code Request event may be generated
T51	CAUSE_EFFECT_RELATION 965 1072	If Simple Pairing Mode is not enabled and authentication fails, the PIN Code Request event may be generated
T52	ROOT_SENTENCE 965 1073	If Simple Pairing Mode is not enabled and authentication fails, the PIN Code Request event may be generated.
T54	KEY_C 1282 1284	If
T55	VARIABLE 1285 1300	the remote Host
T56	CONDITION 1301 1335	supported features page is present
T57	VARIABLE 1337 1390	the Remote Host Supported Features Notification event
T58	CONDITION 1391 1450	shall be sent before the Remote Name Request Complete event
T59	STATEMENT 1337 1450	the Remote Host Supported Features Notification event shall be sent before the Remote Name Request Complete event
T60	STATEMENT 1285 1335	the remote Host supported features page is present
T61	CAUSE 1282 1335	If the remote Host supported features page is present
T62	CAUSE_EFFECT_RELATION 1282 1450	If the remote Host supported features page is present, the Remote Host Supported Features Notification event shall be sent before the Remote Name Request Complete event
T63	ROOT_SENTENCE 1282 1451	If the remote Host supported features page is present, the Remote Host Supported Features Notification event shall be sent before the Remote Name Request Complete event.
T64	KEY_C 1453 1455	If
T65	NEGATION 1456 1459	not
T66	CAUSE 1453 1459	If not
T67	VARIABLE 1466 1504	the Remote Name Request Complete event
T68	CONDITION 1505 1518	shall be sent
T69	STATEMENT 1466 1518	the Remote Name Request Complete event shall be sent
T70	KEY_C 1521 1523	If
T71	VARIABLE 1524 1540	the cancellation
T72	CONDITION 1541 1555	was successful
T73	VARIABLE 1557 1595	the Remote Name Request Complete event
T74	CONDITION 1596 1671	shall be generated with the error code Unknown Connection Identifier (0x02)
T75	STATEMENT 1557 1671	the Remote Name Request Complete event shall be generated with the error code Unknown Connection Identifier (0x02)
T76	STATEMENT 1524 1555	the cancellation was successful
T77	CAUSE 1521 1555	If the cancellation was successful
T78	CAUSE_EFFECT_RELATION 1521 1671	If the cancellation was successful, the Remote Name Request Complete event shall be generated with the error code Unknown Connection Identifier (0x02)
T79	ROOT_SENTENCE 1521 1672	If the cancellation was successful, the Remote Name Request Complete event shall be generated with the error code Unknown Connection Identifier (0x02).
T80	KEY_C 1674 1676	If
T81	VARIABLE 1677 1688	the command
T82	CONDITION 1689 1714	is requested at the slave
T83	VARIABLE 1716 1722	the LM
T84	CONDITION 1723 1767	will immediately send a Command Status event
T85	CONDITION 1772 1818	a Read Clock Offset Complete event to the Host
T86	CONDITION 1820 1850	without an exchange of LMP PDU
T87	AND 1723 1818	will immediately send a Command Status event and a Read Clock Offset Complete event to the Host
T88	AND 1723 1850	will immediately send a Command Status event and a Read Clock Offset Complete event to the Host, without an exchange of LMP PDU
T89	STATEMENT 1716 1850	the LM will immediately send a Command Status event and a Read Clock Offset Complete event to the Host, without an exchange of LMP PDU
T90	STATEMENT 1677 1714	the command is requested at the slave
T91	CAUSE 1674 1714	If the command is requested at the slave
T92	CAUSE_EFFECT_RELATION 1674 1850	If the command is requested at the slave, the LM will immediately send a Command Status event and a Read Clock Offset Complete event to the Host, without an exchange of LMP PDU
T93	ROOT_SENTENCE 1674 1851	If the command is requested at the slave, the LM will immediately send a Command Status event and a Read Clock Offset Complete event to the Host, without an exchange of LMP PDU.
T94	KEY_C 1853 1855	If
T95	VARIABLE 1856 1872	the lower layers
T96	CONDITION 1880 1906	achieve the exact transmit
T97	CONDITION 1911 1970	receive bandwidth requested subject to the other parameters
T98	AND 1880 1970	achieve the exact transmit and receive bandwidth requested subject to the other parameters
T99	KEY_C 1972 1976	then
T100	VARIABLE 1977 1985	the link
T101	CONDITION 1986 2003	shall be rejected
T102	STATEMENT 1977 2003	the link shall be rejected
T103	EFFECT 1972 2003	then the link shall be rejected
T104	NEGATION 1873 1970	cannot achieve the exact transmit and receive bandwidth requested subject to the other parameters
T105	STATEMENT 1856 1970	the lower layers cannot achieve the exact transmit and receive bandwidth requested subject to the other parameters
T106	CAUSE 1853 1970	If the lower layers cannot achieve the exact transmit and receive bandwidth requested subject to the other parameters
T107	ROOT_SENTENCE 1853 2004	If the lower layers cannot achieve the exact transmit and receive bandwidth requested subject to the other parameters, then the link shall be rejected.
T108	CAUSE_EFFECT_RELATION 1853 2003	If the lower layers cannot achieve the exact transmit and receive bandwidth requested subject to the other parameters, then the link shall be rejected
T109	KEY_C 2006 2008	If
T110	VARIABLE 2009 2017	all bits
T111	CONDITION 2018 2050	are set in the packet type field
T112	KEY_C 2052 2056	then
