T1	VARIABLE 0 8	The user
T2	CONDITION 9 61	is expected to check that these 6-digit values match
T3	CONDITION 66 76	to confirm
T4	AND 9 76	is expected to check that these 6-digit values match and to confirm
T5	VARIABLE 80 85	there
T6	CONDITION 86 96	is a match
T7	KEY_C 77 79	if
T8	CAUSE 77 96	if there is a match
T9	STATEMENT 80 96	there is a match
T10	STATEMENT 0 76	The user is expected to check that these 6-digit values match and to confirm
T11	CAUSE_EFFECT_RELATION 0 96	The user is expected to check that these 6-digit values match and to confirm if there is a match
T12	ROOT_SENTENCE 0 97	The user is expected to check that these 6-digit values match and to confirm if there is a match.
T13	KEY_C 99 101	If
T14	VARIABLE 102 107	there
T15	NEGATION 108 119	is no match
T16	STATEMENT 102 119	there is no match
T17	CAUSE 99 119	If there is no match
T18	VARIABLE 121 133	the protocol
T19	CONDITION 134 140	aborts
T20	VARIABLE 157 167	new nonces
T21	CONDITION 168 185	must be generated
T22	VARIABLE 189 201	the protocol
T23	CONDITION 202 219	is to be repeated
T24	KEY_C 186 188	if
T25	STATEMENT 189 219	the protocol is to be repeated
T26	CAUSE 186 219	if the protocol is to be repeated
T27	STATEMENT 157 185	new nonces must be generated
T28	CAUSE_EFFECT_RELATION 157 219	new nonces must be generated if the protocol is to be repeated
T29	STATEMENT 121 140	the protocol aborts
T30	AND 99 219	If there is no match, the protocol aborts and, as before, new nonces must be generated if the protocol is to be repeated
T31	CAUSE_EFFECT_RELATION 99 140	If there is no match, the protocol aborts
T32	NONE_CAUSAL 146 155	as before
T33	ROOT_SENTENCE 99 220	If there is no match, the protocol aborts and, as before, new nonces must be generated if the protocol is to be repeated.
T34	VARIABLE 533 541	a device
T35	CONDITION 542 558	has received OOB
T36	VARIABLE 560 562	it
T37	CONDITION 563 615	sets the peer's r value to what was sent by the peer
T38	NONE_CAUSAL 616 624	(Step 5)
T39	KEY_C 530 532	If
T40	STATEMENT 533 558	a device has received OOB
T41	CAUSE 530 558	If a device has received OOB
T42	STATEMENT 560 615	it sets the peer's r value to what was sent by the peer
T43	CAUSE_EFFECT_RELATION 530 615	If a device has received OOB, it sets the peer's r value to what was sent by the peer
T44	ROOT_SENTENCE 530 625	If a device has received OOB, it sets the peer's r value to what was sent by the peer (Step 5).
T45	VARIABLE 630 640	this check
T46	CONDITION 641 646	fails
T47	KEY_C 627 629	If
T48	VARIABLE 723 735	the protocol
T49	CONDITION 736 751	must be aborted
T50	STATEMENT 723 751	the protocol must be aborted
T51	VARIABLE 666 687	the initiating device
T52	CONDITION 688 717	has not confirmed the pairing
T53	KEY_C 648 665	it indicates that
T54	AND 666 751	the initiating device has not confirmed the pairing, and the protocol must be aborted
