T1	VARIABLE 0 8	Channels
T2	CONDITION 9 57	shall only be created over the BR/EDR Controller
T3	KEY_C 58 60	if
T4	VARIABLE 61 80	both L2CAP entities
T5	CONDITION 81 127	support Extended Flow Specification for BR/EDR
T6	STATEMENT 61 127	both L2CAP entities support Extended Flow Specification for BR/EDR
T7	CAUSE 58 127	if both L2CAP entities support Extended Flow Specification for BR/EDR
T8	STATEMENT 0 57	Channels shall only be created over the BR/EDR Controller
T9	CAUSE_EFFECT_RELATION 0 127	Channels shall only be created over the BR/EDR Controller if both L2CAP entities support Extended Flow Specification for BR/EDR
T10	ROOT_SENTENCE 0 128	Channels shall only be created over the BR/EDR Controller if both L2CAP entities support Extended Flow Specification for BR/EDR.
T11	VARIABLE 854 895	the Extended Flow Specification aggregate
T12	CONDITION 896 925	are modified for a Controller
T13	KEY_C 926 930	then
T14	KEY_C 851 853	If
T15	VARIABLE 931 962	a logical link modify operation
T16	CONDITION 963 1001	shall be performed for that Controller
T17	STATEMENT 931 1001	a logical link modify operation shall be performed for that Controller
T18	EFFECT 926 1001	then a logical link modify operation shall be performed for that Controller
T19	STATEMENT 854 925	the Extended Flow Specification aggregate are modified for a Controller
T20	CAUSE 851 925	If the Extended Flow Specification aggregate are modified for a Controller
T21	CAUSE_EFFECT_RELATION 851 1001	If the Extended Flow Specification aggregate are modified for a Controller then a logical link modify operation shall be performed for that Controller
T22	ROOT_SENTENCE 851 1002	If the Extended Flow Specification aggregate are modified for a Controller then a logical link modify operation shall be performed for that Controller.
T23	KEY_C 1168 1170	If
T24	VARIABLE 1171 1222	the result code in the Move Channel Response packet
T25	CONDITION 1223 1235	is “refused”
T26	VARIABLE 1236 1238	it
T27	CONDITION 1239 1329	shall send a Move Channel Confirmation packet with result code “failure” to the other side
T28	STATEMENT 1171 1235	the result code in the Move Channel Response packet is “refused”
T29	CAUSE 1168 1235	If the result code in the Move Channel Response packet is “refused”
T30	STATEMENT 1236 1329	it shall send a Move Channel Confirmation packet with result code “failure” to the other side
T31	CAUSE_EFFECT_RELATION 1168 1329	If the result code in the Move Channel Response packet is “refused” it shall send a Move Channel Confirmation packet with result code “failure” to the other side
T32	ROOT_SENTENCE 1168 1330	If the result code in the Move Channel Response packet is “refused” it shall send a Move Channel Confirmation packet with result code “failure” to the other side.
T33	KEY_C 14874 14876	If
T34	VARIABLE 14877 14891	this path cost
T35	CONDITION 14892 14902	is greater
T36	VARIABLE 14904 14935	the route request command frame
T37	CONDITION 14936 14946	is dropped
T38	VARIABLE 14954 14972	further processing
T39	CONDITION 14973 14984	is required
T40	STATEMENT 14954 14984	further processing is required
T41	NEGATION 14951 14984	no further processing is required
T42	STATEMENT 14904 14946	the route request command frame is dropped
T43	AND 14904 14984	the route request command frame is dropped and no further processing is required
T44	STATEMENT 14877 14902	this path cost is greater
T45	CAUSE 14874 14902	If this path cost is greater
T46	CAUSE_EFFECT_RELATION 14874 14984	If this path cost is greater, the route request command frame is dropped and no further processing is required
T47	ROOT_SENTENCE 14874 14985	If this path cost is greater, the route request command frame is dropped and no further processing is required.
T48	KEY_C 14731 14733	If
T49	VARIABLE 14734 14744	this value
T50	CONDITION 14745 14805	is greater than the value in the route discovery table entry
T51	VARIABLE 14807 14816	the frame
T52	CONDITION 14817 14833	shall be dropped
T53	VARIABLE 14841 14859	further processing
T54	CONDITION 14860 14871	is required
T55	STATEMENT 14841 14871	further processing is required
T56	NEGATION 14838 14871	no further processing is required
T57	STATEMENT 14807 14833	the frame shall be dropped
T58	AND 14807 14871	the frame shall be dropped and no further processing is required
T59	STATEMENT 14734 14805	this value is greater than the value in the route discovery table entry
T60	CAUSE 14731 14805	If this value is greater than the value in the route discovery table entry
T61	CAUSE_EFFECT_RELATION 14731 14871	If this value is greater than the value in the route discovery table entry, the frame shall be dropped and no further processing is required
T62	ROOT_SENTENCE 14731 14872	If this value is greater than the value in the route discovery table entry, the frame shall be dropped and no further processing is required.
T63	KEY_C 14571 14573	If
T64	VARIABLE 14574 14591	either the device
T65	VARIABLE 14595 14625	one of its end device children
T66	CONDITION 14626 14679	is the destination of the route request command frame
T67	VARIABLE 14681 14683	it
T68	CONDITION 14684 14728	shall reply with a route reply command frame
T69	STATEMENT 14681 14728	it shall reply with a route reply command frame
T70	OR 14574 14625	either the device or one of its end device children
T71	STATEMENT 14574 14679	either the device or one of its end device children is the destination of the route request command frame
T72	CAUSE 14571 14679	If either the device or one of its end device children is the destination of the route request command frame
T73	CAUSE_EFFECT_RELATION 14571 14728	If either the device or one of its end device children is the destination of the route request command frame, it shall reply with a route reply command frame
T74	ROOT_SENTENCE 14571 14729	If either the device or one of its end device children is the destination of the route request command frame, it shall reply with a route reply command frame.
T75	VARIABLE 14416 14426	The device
T76	CONDITION 14427 14493	shall also establish the corresponding route discovery table entry
T77	KEY_C 14494 14496	if
T78	VARIABLE 14497 14524	one with the same initiator
T79	VARIABLE 14529 14545	route request ID
T80	AND 14497 14545	one with the same initiator and route request ID
T81	CONDITION 14555 14568	already exist
T82	NEGATION 14546 14568	does not already exist
T83	STATEMENT 14497 14568	one with the same initiator and route request ID does not already exist
T84	CAUSE 14494 14568	if one with the same initiator and route request ID does not already exist
T85	STATEMENT 14416 14493	The device shall also establish the corresponding route discovery table entry
T86	CAUSE_EFFECT_RELATION 14416 14568	The device shall also establish the corresponding route discovery table entry if one with the same initiator and route request ID does not already exist
T87	ROOT_SENTENCE 14416 14569	The device shall also establish the corresponding route discovery table entry if one with the same initiator and route request ID does not already exist.
T88	KEY_C 14317 14319	If
T89	VARIABLE 14320 14333	the addresses
T90	CONDITION 14341 14346	match
T91	NEGATION 14334 14346	do not match
T92	STATEMENT 14320 14346	the addresses do not match
T93	CAUSE 14317 14346	If the addresses do not match
T94	VARIABLE 14348 14357	the frame
T95	CONDITION 14358 14376	shall be discarded
T96	VARIABLE 14384 14398	further action
T97	CONDITION 14399 14413	shall be taken
T98	STATEMENT 14384 14413	further action shall be taken
T99	NEGATION 14381 14413	no further action shall be taken
T100	STATEMENT 14348 14376	the frame shall be discarded
T101	AND 14348 14413	the frame shall be discarded and no further action shall be taken
T102	CAUSE_EFFECT_RELATION 14317 14413	If the addresses do not match, the frame shall be discarded and no further action shall be taken
T103	ROOT_SENTENCE 14317 14414	If the addresses do not match, the frame shall be discarded and no further action shall be taken.
T104	KEY_C 13884 13886	If
T105	VARIABLE 13887 13895	there is
T106	CONDITION 13896 13919	at least one relay node
T107	VARIABLE 13921 13980	the source route flag of the NWK header frame control field
T108	CONDITION 13981 13993	shall be set
T109	VARIABLE 13999 14035	the NWK header source route subframe
T110	CONDITION 14036 14052	shall be present
T111	STATEMENT 13999 14052	the NWK header source route subframe shall be present
T112	STATEMENT 13921 13993	the source route flag of the NWK header frame control field shall be set
T113	AND 13921 14052	the source route flag of the NWK header frame control field shall be set, and the NWK header source route subframe shall be present
T114	STATEMENT 13887 13919	there is at least one relay node
T115	CAUSE 13884 13919	If there is at least one relay node
T116	CAUSE_EFFECT_RELATION 13884 14052	If there is at least one relay node, the source route flag of the NWK header frame control field shall be set, and the NWK header source route subframe shall be present
T117	ROOT_SENTENCE 13884 14053	If there is at least one relay node, the source route flag of the NWK header frame control field shall be set, and the NWK header source route subframe shall be present.
T118	KEY_C 13765 13767	If
T119	VARIABLE 13768 13798	the receiver's network address
T120	CONDITION 13799 13842	falls within the range covered by the frame
T121	KEY_C 13844 13848	then
T122	VARIABLE 13849 13869	the link status list
T123	CONDITION 13870 13881	is searched
T124	STATEMENT 13849 13881	the link status list is searched
T125	EFFECT 13844 13881	then the link status list is searched
T126	STATEMENT 13768 13842	the receiver's network address falls within the range covered by the frame
T127	CAUSE 13765 13842	If the receiver's network address falls within the range covered by the frame
T128	CAUSE_EFFECT_RELATION 13765 13881	If the receiver's network address falls within the range covered by the frame, then the link status list is searched
T129	ROOT_SENTENCE 13765 13882	If the receiver's network address falls within the range covered by the frame, then the link status list is searched.
T130	KEY_C 13600 13602	If
T131	VARIABLE 13603 13654	the no route cache field of the routing table entry
T132	CONDITION 13655 13675	has a value of FALSE
T133	KEY_C 13677 13681	then
T134	VARIABLE 13682 13740	the route record required field of the routing table entry
T135	CONDITION 13741 13762	shall be set to FALSE
T136	STATEMENT 13682 13762	the route record required field of the routing table entry shall be set to FALSE
T137	EFFECT 13677 13762	then the route record required field of the routing table entry shall be set to FALSE
T138	STATEMENT 13603 13675	the no route cache field of the routing table entry has a value of FALSE
T139	CAUSE 13600 13675	If the no route cache field of the routing table entry has a value of FALSE
T140	CAUSE_EFFECT_RELATION 13600 13762	If the no route cache field of the routing table entry has a value of FALSE, then the route record required field of the routing table entry shall be set to FALSE
T141	ROOT_SENTENCE 13600 13763	If the no route cache field of the routing table entry has a value of FALSE, then the route record required field of the routing table entry shall be set to FALSE.
T142	KEY_C 13062 13064	If
T143	VARIABLE 13065 13073	there is
T144	CONDITION 13074 13087	such an entry
T145	VARIABLE 13089 13099	the device
T146	CONDITION 13100 13147	may route the frame directly to the destination
T147	CONDITION 13148 13217	using the MCPS-DATA.request primitive as described in section 3.6.2.1
T148	AND 13100 13217	may route the frame directly to the destination using the MCPS-DATA.request primitive as described in section 3.6.2.1
T149	STATEMENT 13089 13217	the device may route the frame directly to the destination using the MCPS-DATA.request primitive as described in section 3.6.2.1
T150	STATEMENT 13065 13087	there is such an entry
T151	CAUSE 13062 13087	If there is such an entry
T152	CAUSE_EFFECT_RELATION 13062 13217	If there is such an entry, the device may route the frame directly to the destination using the MCPS-DATA.request primitive as described in section 3.6.2.1
T153	ROOT_SENTENCE 13062 13218	If there is such an entry, the device may route the frame directly to the destination using the MCPS-DATA.request primitive as described in section 3.6.2.1.
T154	KEY_C 12933 12935	If
T155	VARIABLE 12936 12945	the frame
T156	CONDITION 12946 12970	is routed along the tree
T157	VARIABLE 12972 13038	the discover route sub-field of the NWK header frame control field
T158	CONDITION 13039 13059	shall be set to 0x00
T159	STATEMENT 12972 13059	the discover route sub-field of the NWK header frame control field shall be set to 0x00
T160	STATEMENT 12936 12970	the frame is routed along the tree
T161	CAUSE 12933 12970	If the frame is routed along the tree
T162	CAUSE_EFFECT_RELATION 12933 13059	If the frame is routed along the tree, the discover route sub-field of the NWK header frame control field shall be set to 0x00
T163	ROOT_SENTENCE 12933 13060	If the frame is routed along the tree, the discover route sub-field of the NWK header frame control field shall be set to 0x00.
T164	KEY_C 12855 12857	If
T165	VARIABLE 12861 12879	continuation state
T166	CONDITION 12880 12912	is to be provided in the request
T167	STATEMENT 12861 12912	continuation state is to be provided in the request
T168	NEGATION 12858 12912	no continuation state is to be provided in the request
T169	VARIABLE 12914 12915	N
T170	CONDITION 12916 12930	shall set to 0
T171	STATEMENT 12914 12930	N shall set to 0
T172	CAUSE 12855 12912	If no continuation state is to be provided in the request
T173	CAUSE_EFFECT_RELATION 12855 12930	If no continuation state is to be provided in the request, N shall set to 0
T174	ROOT_SENTENCE 12855 12931	If no continuation state is to be provided in the request, N shall set to 0.
T175	VARIABLE 12502 12528	Address conflict detection
T176	CONDITION 12529 12545	shall be enabled
T177	KEY_C 12546 12548	if
T178	VARIABLE 12549 12580	the NIB attribute nwkUniqueAddr
T179	CONDITION 12581 12589	is FALSE
T180	STATEMENT 12549 12589	the NIB attribute nwkUniqueAddr is FALSE
T181	CAUSE 12546 12589	if the NIB attribute nwkUniqueAddr is FALSE
T182	STATEMENT 12502 12545	Address conflict detection shall be enabled
T183	CAUSE_EFFECT_RELATION 12502 12589	Address conflict detection shall be enabled if the NIB attribute nwkUniqueAddr is FALSE
T184	ROOT_SENTENCE 12502 12590	Address conflict detection shall be enabled if the NIB attribute nwkUniqueAddr is FALSE.
T185	KEY_C 12334 12336	If
T186	VARIABLE 12337 12345	a device
T187	CONDITION 12346 12371	has a Cskip(d) value of 0
T188	KEY_C 12373 12377	then
T189	VARIABLE 12378 12380	it
T190	CONDITION 12391 12423	be capable of accepting children
T191	CONDITION 12428 12499	shall be treated as a ZigBee end device for purposes of this discussion
T192	AND 12391 12499	be capable of accepting children and shall be treated as a ZigBee end device for purposes of this discussion
T193	NEGATION 12381 12499	shall not be capable of accepting children and shall be treated as a ZigBee end device for purposes of this discussion
T194	STATEMENT 12378 12499	it shall not be capable of accepting children and shall be treated as a ZigBee end device for purposes of this discussion
T195	EFFECT 12373 12499	then it shall not be capable of accepting children and shall be treated as a ZigBee end device for purposes of this discussion
T196	STATEMENT 12337 12371	a device has a Cskip(d) value of 0
T197	CAUSE 12334 12371	If a device has a Cskip(d) value of 0
T198	CAUSE_EFFECT_RELATION 12334 12499	If a device has a Cskip(d) value of 0, then it shall not be capable of accepting children and shall be treated as a ZigBee end device for purposes of this discussion
T199	ROOT_SENTENCE 12334 12500	If a device has a Cskip(d) value of 0, then it shall not be capable of accepting children and shall be treated as a ZigBee end device for purposes of this discussion.
T200	KEY_C 12170 12172	If
T201	VARIABLE 12173 12188	a ZigBee router
T202	VARIABLE 12192 12210	ZigBee coordinator
T203	OR 12173 12210	a ZigBee router or ZigBee coordinator
T204	CONDITION 12211 12236	maintains a routing table
T205	VARIABLE 12238 12240	it
T206	CONDITION 12241 12331	shall also maintain a route discovery table containing the information shown in Table 3.58
T207	STATEMENT 12238 12331	it shall also maintain a route discovery table containing the information shown in Table 3.58
T208	STATEMENT 12173 12236	a ZigBee router or ZigBee coordinator maintains a routing table
T209	CAUSE 12170 12236	If a ZigBee router or ZigBee coordinator maintains a routing table
T210	CAUSE_EFFECT_RELATION 12170 12331	If a ZigBee router or ZigBee coordinator maintains a routing table, it shall also maintain a route discovery table containing the information shown in Table 3.58
T211	ROOT_SENTENCE 12170 12332	If a ZigBee router or ZigBee coordinator maintains a routing table, it shall also maintain a route discovery table containing the information shown in Table 3.58.
T212	KEY_C 12036 12038	If
T213	VARIABLE 12039 12049	the device
T214	CONDITION 12057 12063	joined
T215	CONDITION 12068 12081	authenticated
T216	AND 12057 12081	joined and authenticated
T217	NEGATION 12050 12081	is not joined and authenticated
T219	CONDITION 12086 12128	undergoing the Trust Center Rejoin process
T220	OR 12050 12128	is not joined and authenticated, or undergoing the Trust Center Rejoin process
T218	STATEMENT 12039 12128	the device is not joined and authenticated, or undergoing the Trust Center Rejoin process
T221	CAUSE 12036 12128	If the device is not joined and authenticated, or undergoing the Trust Center Rejoin process
T222	VARIABLE 12130 12132	it
T223	CONDITION 12133 12167	shall perform the following checks
T224	STATEMENT 12130 12167	it shall perform the following checks
T225	CAUSE_EFFECT_RELATION 12036 12167	If the device is not joined and authenticated, or undergoing the Trust Center Rejoin process, it shall perform the following checks
T226	ROOT_SENTENCE 12036 12168	If the device is not joined and authenticated, or undergoing the Trust Center Rejoin process, it shall perform the following checks.
T227	KEY_C 11921 11923	If
T228	VARIABLE 11924 11944	the receiving device
T229	CONDITION 11945 11961	is an end device
T230	VARIABLE 11962 11973	the message
T231	CONDITION 11974 11990	shall be dropped
T232	VARIABLE 11998 12016	further processing
T233	CONDITION 12017 12033	shall take place
T234	STATEMENT 11998 12033	further processing shall take place
T235	NEGATION 11995 12033	no further processing shall take place
T236	STATEMENT 11962 11990	the message shall be dropped
T237	AND 11962 12033	the message shall be dropped and no further processing shall take place
T238	STATEMENT 11924 11961	the receiving device is an end device
T239	CAUSE 11921 11961	If the receiving device is an end device
T240	CAUSE_EFFECT_RELATION 11921 12033	If the receiving device is an end device the message shall be dropped and no further processing shall take place
T241	ROOT_SENTENCE 11921 12034	If the receiving device is an end device the message shall be dropped and no further processing shall take place.
T242	KEY_C 11776 11778	If
T243	VARIABLE 11779 11811	security processing of the frame
T244	CONDITION 11812 11817	fails
T245	VARIABLE 11822 11831	the frame
T246	CONDITION 11832 11858	is a network command frame
T247	VARIABLE 11860 11862	it
T248	CONDITION 11863 11875	is discarded
T249	VARIABLE 11883 11901	further processing
T250	CONDITION 11902 11918	shall take place
T251	STATEMENT 11883 11918	further processing shall take place
T252	NEGATION 11880 11918	no further processing shall take place
T253	STATEMENT 11860 11875	it is discarded
T254	AND 11860 11918	it is discarded and no further processing shall take place
T255	STATEMENT 11822 11858	the frame is a network command frame
T256	STATEMENT 11779 11817	security processing of the frame fails
T257	AND 11779 11858	security processing of the frame fails and the frame is a network command frame
T258	CAUSE 11776 11858	If security processing of the frame fails and the frame is a network command frame
T259	CAUSE_EFFECT_RELATION 11776 11918	If security processing of the frame fails and the frame is a network command frame, it is discarded and no further processing shall take place
T260	ROOT_SENTENCE 11776 11919	If security processing of the frame fails and the frame is a network command frame, it is discarded and no further processing shall take place.
T262	KEY_C 1332 1334	If
T263	VARIABLE 1335 1386	the result code in the Move Channel Response packet
T264	CONDITION 1387 1399	is “refused”
T265	VARIABLE 1400 1402	it
T266	CONDITION 1403 1493	shall send a Move Channel Confirmation packet with result code “failure” to the other side
T267	STATEMENT 1400 1493	it shall send a Move Channel Confirmation packet with result code “failure” to the other side
T268	STATEMENT 1335 1399	the result code in the Move Channel Response packet is “refused”
T269	CAUSE 1332 1399	If the result code in the Move Channel Response packet is “refused”
T270	CAUSE_EFFECT_RELATION 1332 1493	If the result code in the Move Channel Response packet is “refused” it shall send a Move Channel Confirmation packet with result code “failure” to the other side
T271	ROOT_SENTENCE 1332 1494	If the result code in the Move Channel Response packet is “refused” it shall send a Move Channel Confirmation packet with result code “failure” to the other side.
T272	KEY_C 1496 1498	If
T273	VARIABLE 1499 1503	both
T274	CONDITION 1504 1515	are success
T275	KEY_C 1516 1520	then
T276	VARIABLE 1521 1574	the result code sent in the Move Channel Confirmation
T277	CONDITION 1575 1591	shall be success
T278	VARIABLE 1602 1604	it
T279	CONDITION 1605 1621	shall be failure
T280	STATEMENT 1602 1621	it shall be failure
T281	STATEMENT 1521 1591	the result code sent in the Move Channel Confirmation shall be success
T282	OR 1521 1621	the result code sent in the Move Channel Confirmation shall be success otherwise it shall be failure
T283	EFFECT 1516 1621	then the result code sent in the Move Channel Confirmation shall be success otherwise it shall be failure
T284	STATEMENT 1499 1515	both are success
T285	CAUSE 1496 1515	If both are success
T286	CAUSE_EFFECT_RELATION 1496 1621	If both are success then the result code sent in the Move Channel Confirmation shall be success otherwise it shall be failure
T287	ROOT_SENTENCE 1496 1622	If both are success then the result code sent in the Move Channel Confirmation shall be success otherwise it shall be failure.
T288	KEY_C 1624 1626	If
T289	VARIABLE 1627 1642	the result sent
T290	CONDITION 1643 1653	is success
T291	KEY_C 1654 1658	then
T292	VARIABLE 1659 1680	the initiating device
T293	CONDITION 1681 1715	shall listen on the new Controller
T294	VARIABLE 1726 1728	it
T295	CONDITION 1729 1763	shall listen on the old Controller
T296	STATEMENT 1726 1763	it shall listen on the old Controller
T297	STATEMENT 1659 1715	the initiating device shall listen on the new Controller
T298	OR 1659 1763	the initiating device shall listen on the new Controller otherwise it shall listen on the old Controller
T299	EFFECT 1654 1763	then the initiating device shall listen on the new Controller otherwise it shall listen on the old Controller
T300	STATEMENT 1627 1653	the result sent is success
T301	CAUSE 1624 1653	If the result sent is success
T302	CAUSE_EFFECT_RELATION 1624 1763	If the result sent is success then the initiating device shall listen on the new Controller otherwise it shall listen on the old Controller
T303	ROOT_SENTENCE 1624 1764	If the result sent is success then the initiating device shall listen on the new Controller otherwise it shall listen on the old Controller.
T304	VARIABLE 1766 1775	LE-frames
