T1	VARIABLE 22 38	structure return
T2	VARIABLE 61 64	hot
T3	CONDITION 82 103	are tested separately
T4	KEY_C 7 21	in the case of
T5	CAUSE 7 38	in the case of structure return
T6	NEGATION 0 38	Except in the case of structure return
T7	STATEMENT 61 103	hot and return wires are tested separately
T8	NONE_CAUSAL 40 59	for each power line
T9	CAUSE_EFFECT_RELATION 0 103	Except in the case of structure return, for each power line, hot and return wires are tested separately
T10	ROOT_SENTENCE 0 104	Except in the case of structure return, for each power line, hot and return wires are tested separately.
T11	VARIABLE 125 144	specified in 4.6.4d
T12	KEY_C 113 124	in the case
T13	CAUSE 113 144	in the case specified in 4.6.4d
T14	NEGATION 106 144	Except in the case specified in 4.6.4d
T15	VARIABLE 146 182	composite structure acceptance tests
T16	CONDITION 183 220	shall be performed at component level
T17	CONDITION 224 252	on fully assembled structure
T18	STATEMENT 146 252	composite structure acceptance tests shall be performed at component level or on fully assembled structure
T19	OR 183 252	shall be performed at component level or on fully assembled structure
T20	CAUSE_EFFECT_RELATION 106 252	Except in the case specified in 4.6.4d, composite structure acceptance tests shall be performed at component level or on fully assembled structure
T21	ROOT_SENTENCE 106 253	Except in the case specified in 4.6.4d, composite structure acceptance tests shall be performed at component level or on fully assembled structure.
T22	KEY_C 262 273	in the case
T23	VARIABLE 274 295	specified in 4.3.2.1d
T24	CAUSE 262 295	in the case specified in 4.3.2.1d
T25	NEGATION 255 295	Except in the case specified in 4.3.2.1d
T26	VARIABLE 297 327	‘safe life item’ demonstration
T27	CONDITION 328 358	shall be performed by analysis
T28	CONDITION 362 402	test in conformance with ECSS‐E‐ST‐32‐01
T29	OR 328 402	shall be performed by analysis or test in conformance with ECSS‐E‐ST‐32‐01
T30	STATEMENT 297 402	‘safe life item’ demonstration shall be performed by analysis or test in conformance with ECSS‐E‐ST‐32‐01
T31	CAUSE_EFFECT_RELATION 255 402	Except in the case specified in 4.3.2.1d, ‘safe life item’ demonstration shall be performed by analysis or test in conformance with ECSS‐E‐ST‐32‐01
T32	ROOT_SENTENCE 255 403	Except in the case specified in 4.3.2.1d, ‘safe life item’ demonstration shall be performed by analysis or test in conformance with ECSS‐E‐ST‐32‐01.
T33	VARIABLE 440 475	requirements for ‘fatigue analysis’
T34	CONDITION 476 525	shall be applied in conformance with ECSS‐E‐ST‐32
T35	KEY_C 405 416	In the case
T36	VARIABLE 417 438	specified in 4.3.2.1d
T37	CAUSE 405 438	In the case specified in 4.3.2.1d
T38	STATEMENT 440 525	requirements for ‘fatigue analysis’ shall be applied in conformance with ECSS‐E‐ST‐32
T39	CAUSE_EFFECT_RELATION 405 525	In the case specified in 4.3.2.1d, requirements for ‘fatigue analysis’ shall be applied in conformance with ECSS‐E‐ST‐32
T40	ROOT_SENTENCE 405 526	In the case specified in 4.3.2.1d, requirements for ‘fatigue analysis’ shall be applied in conformance with ECSS‐E‐ST‐32.
T41	KEY_C 1126 1142	In the case that
T42	VARIABLE 1143 1151	4.6.3.2c
T43	NEGATION 1152 1170	cannot be achieved
T44	STATEMENT 1143 1170	4.6.3.2c cannot be achieved
T45	CAUSE 1126 1170	In the case that 4.6.3.2c cannot be achieved
T46	VARIABLE 1172 1191	station calibration
T47	CONDITION 1263 1282	should be performed
T48	CONDITION 1195 1262	different frequencies over the mission specific frequency variation
T49	KEY_C 1192 1194	at
T50	EFFECT 1192 1262	at different frequencies over the mission specific frequency variation
T51	AND 1172 1282	station calibration at different frequencies over the mission specific frequency variation should be performed
T52	CAUSE_EFFECT_RELATION 1126 1282	In the case that 4.6.3.2c cannot be achieved, station calibration at different frequencies over the mission specific frequency variation should be performed
T53	ROOT_SENTENCE 1126 1283	In the case that 4.6.3.2c cannot be achieved, station calibration at different frequencies over the mission specific frequency variation should be performed.
T54	KEY_C 1580 1594	In the case of
T55	VARIABLE 1595 1617	digital implementation
T56	VARIABLE 1619 1650	the FIR filter impulse response
T57	CONDITION 1651 1681	shall be at least 16 bits long
T58	STATEMENT 1619 1681	the FIR filter impulse response shall be at least 16 bits long
T59	CAUSE 1580 1617	In the case of digital implementation
T60	CAUSE_EFFECT_RELATION 1580 1681	In the case of digital implementation, the FIR filter impulse response shall be at least 16 bits long
T61	ROOT_SENTENCE 1580 1682	In the case of digital implementation, the FIR filter impulse response shall be at least 16 bits long.
T62	KEY_C 4765 4779	In the case of
T63	VARIABLE 4780 4797	inorganic glasses
T64	VARIABLE 4798 4809	pure silica
T65	CONDITION 4810 4824	should be used
T66	STATEMENT 4798 4824	pure silica should be used
T67	CAUSE 4765 4797	In the case of inorganic glasses
T68	CAUSE_EFFECT_RELATION 4765 4824	In the case of inorganic glasses pure silica should be used
T69	ROOT_SENTENCE 4765 4825	In the case of inorganic glasses pure silica should be used.
T70	VARIABLE 1297 1320	specified in 6.1.4.1.2a
T71	KEY_C 1285 1296	In the case
T72	KEY_C 1321 1325	when
T73	VARIABLE 1326 1348	the 4 ksps symbol rate
T74	CONDITION 1349 1356	is used
T75	VARIABLE 1358 1372	the subcarrier
T76	CONDITION 1373 1388	shall be 16 kHz
T77	STATEMENT 1358 1388	the subcarrier shall be 16 kHz
T78	STATEMENT 1326 1356	the 4 ksps symbol rate is used
T79	CAUSE 1321 1356	when the 4 ksps symbol rate is used
T80	CAUSE 1285 1320	In the case specified in 6.1.4.1.2a
T81	AND 1285 1356	In the case specified in 6.1.4.1.2a when the 4 ksps symbol rate is used
T82	CAUSE_EFFECT_RELATION 1285 1388	In the case specified in 6.1.4.1.2a when the 4 ksps symbol rate is used, the subcarrier shall be 16 kHz
T83	ROOT_SENTENCE 1285 1389	In the case specified in 6.1.4.1.2a when the 4 ksps symbol rate is used, the subcarrier shall be 16 kHz.
T84	KEY_C 1869 1883	in the case of
T85	VARIABLE 1884 1919	support by an external space agency
T86	VARIABLE 1921 1931	provisions
T87	CONDITION 1932 1967	are given in Annex E, requirement d
T88	NONE_CAUSAL 1860 1867	However
T89	CAUSE 1869 1919	in the case of support by an external space agency
T90	STATEMENT 1921 1967	provisions are given in Annex E, requirement d
T91	CAUSE_EFFECT_RELATION 1869 1967	in the case of support by an external space agency, provisions are given in Annex E, requirement d
T92	ROOT_SENTENCE 1860 1968	However, in the case of support by an external space agency, provisions are given in Annex E, requirement d.
T93	KEY_C 3588 3605	In the case where
T94	VARIABLE 3606 3619	opposed wires
T95	CONDITION 3620 3630	are tested
T96	VARIABLE 3631 3667	a specifically designed test fixture
T97	CONDITION 3668 3681	shall be used
T98	STATEMENT 3631 3681	a specifically designed test fixture shall be used
T99	STATEMENT 3606 3630	opposed wires are tested
T100	CAUSE 3588 3630	In the case where opposed wires are tested
T101	CAUSE_EFFECT_RELATION 3588 3681	In the case where opposed wires are tested a specifically designed test fixture shall be used
T102	ROOT_SENTENCE 3588 3682	In the case where opposed wires are tested a specifically designed test fixture shall be used.
T103	VARIABLE 3767 3797	the volt- age-drop measurement
T104	CONDITION 3798 3829	shall be performed on each wire
T105	STATEMENT 3767 3829	the volt- age-drop measurement shall be performed on each wire
T106	KEY_C 3684 3698	In the case of
T107	VARIABLE 3699 3702	two
T108	VARIABLE 3706 3716	more wires
T109	OR 3699 3716	two or more wires
T110	CONDITION 3717 3750	being crimped in the same contact
T111	CONDITION 3752 3755	lug
T112	CONDITION 3759 3765	splice
T113	OR 3752 3765	lug or splice
T114	OR 3717 3765	being crimped in the same contact, lug or splice
T115	STATEMENT 3699 3765	two or more wires being crimped in the same contact, lug or splice
T116	CAUSE 3684 3765	In the case of two or more wires being crimped in the same contact, lug or splice
T117	CAUSE_EFFECT_RELATION 3684 3829	In the case of two or more wires being crimped in the same contact, lug or splice, the volt- age-drop measurement shall be performed on each wire
T118	ROOT_SENTENCE 3684 3830	In the case of two or more wires being crimped in the same contact, lug or splice, the volt- age-drop measurement shall be performed on each wire.
T119	VARIABLE 4360 4363	NDI
T120	CONDITION 4364 4438	is requested in the customer specification document for threaded fasteners
T121	VARIABLE 4440 4452	the supplier
T122	CONDITION 4453 4497	shall include in the RMC the date of the NDI
T123	CONDITION 4499 4516	name of inspector
T124	CONDITION 4518 4569	NDI results with description of any non-conformance
T125	AND 4499 4569	name of inspector, NDI results with description of any non-conformance
