T1	VARIABLE 0 10	All timber
T2	CONDITION 11 47	shall be free from live barer beetle
T3	CONDITION 51 70	other insect attack
T4	STATEMENT 0 70	All timber shall be free from live barer beetle or other insect attack
T5	OR 11 70	shall be free from live barer beetle or other insect attack
T6	KEY_C 71 75	when
T7	CONDITION 76 97	brought upon the Site
T8	CAUSE 71 97	when brought upon the Site
T9	CAUSE_EFFECT_RELATION 0 97	All timber shall be free from live barer beetle or other insect attack when brought upon the Site
T10	ROOT_SENTENCE 0 98	All timber shall be free from live barer beetle or other insect attack when brought upon the Site.
T14	KEY_C 16048 16052	when
T15	VARIABLE 16053 16059	system
T16	CONDITION 16060 16093	is taken off-line for maintenance
T17	STATEMENT 16053 16093	system is taken off-line for maintenance
T18	CAUSE 16048 16093	when system is taken off-line for maintenance
T19	VARIABLE 15947 15985	The NAS ground-based navigational aids
T20	CONDITION 15986 16047	shall terminate transmittal of a unique identification signal
T21	STATEMENT 15947 16047	The NAS ground-based navigational aids shall terminate transmittal of a unique identification signal
T22	CAUSE_EFFECT_RELATION 15947 16093	The NAS ground-based navigational aids shall terminate transmittal of a unique identification signal when system is taken off-line for maintenance
T23	ROOT_SENTENCE 15947 16094	The NAS ground-based navigational aids shall terminate transmittal of a unique identification signal when system is taken off-line for maintenance.
T24	VARIABLE 15879 15886	The NAS
T25	CONDITION 15887 15904	shall alert users
T26	STATEMENT 15879 15904	The NAS shall alert users
T27	KEY_C 15905 15909	when
T28	VARIABLE 15910 15938	a navigation guidance system
T29	CONDITION 15939 15944	fails
T30	STATEMENT 15910 15944	a navigation guidance system fails
T31	CAUSE 15905 15944	when a navigation guidance system fails
T32	CAUSE_EFFECT_RELATION 15879 15944	The NAS shall alert users when a navigation guidance system fails
T33	ROOT_SENTENCE 15879 15945	The NAS shall alert users when a navigation guidance system fails.
T34	VARIABLE 15822 15829	The NAS
T35	CONDITION 15830 15856	shall alert the specialist
T36	KEY_C 15857 15861	when
T37	VARIABLE 15862 15870	a system
T38	CONDITION 15871 15876	fails
T39	STATEMENT 15862 15876	a system fails
T40	CAUSE 15857 15876	when a system fails
T41	STATEMENT 15822 15856	The NAS shall alert the specialist
T42	CAUSE_EFFECT_RELATION 15822 15876	The NAS shall alert the specialist when a system fails
T43	ROOT_SENTENCE 15822 15877	The NAS shall alert the specialist when a system fails.
T44	KEY_C 15696 15700	when
T45	CONDITION 15801 15819	exceeds 15 minutes
T46	VARIABLE 15664 15671	The NAS
T47	CONDITION 15672 15695	shall alert specialists
T48	STATEMENT 15664 15695	The NAS shall alert specialists
T49	VARIABLE 15701 15800	the time for re-establishing contact with an aircraft operating over NAS-designated hazardous areas
T50	STATEMENT 15701 15819	the time for re-establishing contact with an aircraft operating over NAS-designated hazardous areas exceeds 15 minutes
T51	CAUSE 15696 15819	when the time for re-establishing contact with an aircraft operating over NAS-designated hazardous areas exceeds 15 minutes
T52	CAUSE_EFFECT_RELATION 15664 15819	The NAS shall alert specialists when the time for re-establishing contact with an aircraft operating over NAS-designated hazardous areas exceeds 15 minutes
T53	ROOT_SENTENCE 15664 15820	The NAS shall alert specialists when the time for re-establishing contact with an aircraft operating over NAS-designated hazardous areas exceeds 15 minutes.
T54	VARIABLE 15508 15515	The NAS
T55	CONDITION 15516 15543	shall alert ATC specialists
T56	CONDITION 15544 15586	at the proposed destination of an aircraft
T57	AND 15516 15586	shall alert ATC specialists at the proposed destination of an aircraft
T58	STATEMENT 15508 15586	The NAS shall alert ATC specialists at the proposed destination of an aircraft
T59	KEY_C 15587 15591	when
T60	VARIABLE 15592 15649	an apparent failure of on board air-ground communications
T61	CONDITION 15650 15661	is detected
T62	STATEMENT 15592 15661	an apparent failure of on board air-ground communications is detected
T63	CAUSE 15587 15661	when an apparent failure of on board air-ground communications is detected
T64	CAUSE_EFFECT_RELATION 15508 15661	The NAS shall alert ATC specialists at the proposed destination of an aircraft when an apparent failure of on board air-ground communications is detected
T65	ROOT_SENTENCE 15508 15662	The NAS shall alert ATC specialists at the proposed destination of an aircraft when an apparent failure of on board air-ground communications is detected.
T66	VARIABLE 15349 15356	The NAS
T67	CONDITION 15357 15430	shall alert other ATC specialists along the proposed route of an aircraft
T68	KEY_C 15431 15435	when
T69	VARIABLE 15436 15493	an apparent failure of on board air-ground communications
T70	CONDITION 15494 15505	is detected
T71	STATEMENT 15436 15505	an apparent failure of on board air-ground communications is detected
T72	CAUSE 15431 15505	when an apparent failure of on board air-ground communications is detected
T73	STATEMENT 15349 15430	The NAS shall alert other ATC specialists along the proposed route of an aircraft
T74	CAUSE_EFFECT_RELATION 15349 15505	The NAS shall alert other ATC specialists along the proposed route of an aircraft when an apparent failure of on board air-ground communications is detected
T75	ROOT_SENTENCE 15349 15506	The NAS shall alert other ATC specialists along the proposed route of an aircraft when an apparent failure of on board air-ground communications is detected.
T76	VARIABLE 15262 15269	The NAS
T77	CONDITION 15270 15287	shall alert users
T78	KEY_C 15288 15292	when
T79	VARIABLE 15293 15334	a change in status of a navigation system
T80	CONDITION 15335 15346	is detected
T81	STATEMENT 15293 15346	a change in status of a navigation system is detected
T82	CAUSE 15288 15346	when a change in status of a navigation system is detected
T83	STATEMENT 15262 15287	The NAS shall alert users
T84	CAUSE_EFFECT_RELATION 15262 15346	The NAS shall alert users when a change in status of a navigation system is detected
T85	ROOT_SENTENCE 15262 15347	The NAS shall alert users when a change in status of a navigation system is detected.
T86	VARIABLE 15177 15184	The NAS
T87	CONDITION 15185 15208	shall notify specialist
T88	KEY_C 15209 15213	when
T91	STATEMENT 15214 15259	known traffic approaches special use airspace
T92	CAUSE 15209 15259	when known traffic approaches special use airspace
T93	STATEMENT 15177 15208	The NAS shall notify specialist
T94	CAUSE_EFFECT_RELATION 15177 15259	The NAS shall notify specialist when known traffic approaches special use airspace
T95	ROOT_SENTENCE 15177 15260	The NAS shall notify specialist when known traffic approaches special use airspace.
T108	VARIABLE 14920 14927	The NAS
T109	CONDITION 14928 14955	shall notify the controller
T110	KEY_C 14956 14960	when
T111	VARIABLE 14961 14974	known traffic
T112	CONDITION 14975 15006	approaches special use airspace
T89	VARIABLE 15214 15227	known traffic
T113	CONDITION 15228 15259	approaches special use airspace
T90	STATEMENT 14961 15006	known traffic approaches special use airspace
T114	CAUSE 14956 15006	when known traffic approaches special use airspace
T115	STATEMENT 14920 14955	The NAS shall notify the controller
T116	CAUSE_EFFECT_RELATION 14920 15006	The NAS shall notify the controller when known traffic approaches special use airspace
T117	ROOT_SENTENCE 14920 15007	The NAS shall notify the controller when known traffic approaches special use airspace.
T118	VARIABLE 14777 14784	The NAS
T119	CONDITION 14785 14817	shall consider local environment
T120	KEY_C 14818 14822	when
T121	VARIABLE 14823 14853	generating avoidance maneuvers
T122	CONDITION 14854 14917	for predicted aircraft-obstacle separation standards violations
T123	STATEMENT 14823 14917	generating avoidance maneuvers for predicted aircraft-obstacle separation standards violations
T124	CAUSE 14818 14917	when generating avoidance maneuvers for predicted aircraft-obstacle separation standards violations
T125	STATEMENT 14777 14817	The NAS shall consider local environment
T126	CAUSE_EFFECT_RELATION 14777 14917	The NAS shall consider local environment when generating avoidance maneuvers for predicted aircraft-obstacle separation standards violations
T127	ROOT_SENTENCE 14777 14918	The NAS shall consider local environment when generating avoidance maneuvers for predicted aircraft-obstacle separation standards violations.
T131	VARIABLE 13129 13136	The NAS
T132	CONDITION 13137 13155	shall notify users
T133	KEY_C 13156 13160	when
T134	VARIABLE 13161 13174	a flight plan
T135	CONDITION 13175 13192	has been accepted
T136	STATEMENT 13161 13192	a flight plan has been accepted
T137	CAUSE 13156 13192	when a flight plan has been accepted
